,Name,No.of votes,Percentage of votes,Party
1189,Ghuran Ram,"144,457",22.2%,Rashtriya Janata Dal
1190,Prabhat Kumar,"90,206",13.9%,Jharkhand Vikas Morcha (Prajatantrik)
1191,Jadhav Baliram Sukur,"223,234",30.5%,Bahujan Vikas Aaghadi
1192,Adv. Chintaman Vanga,"210,874",28.8%,Bharatiya Janta Party
1193,Shingda Damodar Barku,"160,570",21.9%,Indian National Congress
1194,Badri Ram Jakhar,"387,604",53.5%,Indian National Congress
1195,Pusp Jain,"190,887",26.3%,Bharatiya Janta Party
1196,Shambhu Singh Khetasar,"108,388",15.0%,Bahujan Samaj Party
1197,Chauhan Prabhatsinh Pratapsinh,"282,079",46.5%,Bharatiya Janta Party
1198,Vaghela Shankarsinh Laxmansinh,"279,998",46.2%,Indian National Congress
1199,Shaikh Kalim A.Latif,"23,615",3.9%,Lok Jan Shakti Party
1200,Adv. Dudhgaonkar Ganeshrao Nagorao,"385,387",44.3%,Shiv Sena
1201,Warpudkar Suresh Ambadasrao,"319,969",36.7%,Nationalist Congress Party
1202,Rajshri Babasaheb Jamage,"64,611",7.4%,Bahujan Samaj Party
1203,Dr. Sanjay Jaiswal,"198,781",38.6%,Bharatiya Janta Party
1204,Prakash Jha,"151,438",29.4%,Lok Jan Shakti Party
1205,Anirudh Prasad Alias Sadhu Yadav,"70,001",13.6%,Indian National Congress
1206,Ranjan Prasad Yadav,"269,298",42.9%,Janata Dal (United)
1207,Lalu Prasad,"245,757",39.1%,Rashtriya Janata Dal
1208,Rameshwar Prasad,"36,837",5.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
1209,Jagdish Thakor,"283,778",44.8%,Indian National Congress
1210,Rathod Bhavsinhbhai Dahyabhai,"265,274",41.9%,Bharatiya Janta Party
1211,Patel Naranbhai Pragdasbhai,"18,554",2.9%,Mahagujarat Janta Party
1212,Anto Antony Punnathaniyil,"408,232",51.1%,Indian National Congress
1213,Adv.K.Anantha Gopan,"297,026",37.2%,Communist Party Of India (MARXIST)
1214,B.Radhakrishna Menon,"56,294",7.1%,Bharatiya Janta Party
1215,Preneet Kaur,"474,188",50.7%,Indian National Congress
1216,Prem Singh Chandumajra,"376,799",40.3%,Shiromani Akali Dal
1217,Deepak Joshi,"57,839",6.2%,Bahujan Samaj Party
1218,Shatrughan Sinha,"316,549",57.3%,Bharatiya Janta Party
1219,Vijay Kumar,"149,779",27.1%,Rashtriya Janata Dal
1220,Shekhar Suman,"61,308",11.1%,Indian National Congress
1221,Dr.G.Vivekanand,"313,748",34.7%,Indian National Congress
1222,Gomasa Srinivas,"264,731",29.3%,Telangana Rashtra Samithi
1223,Arepelli David Raju,"175,605",19.4%,Praja Rajyam Party
1224,"Napoleon,d.","398,742",47.8%,Dravida Munetra Kazhagam
1225,"Balasubramanian,k.K.","321,138",38.5%,All India Anna Dravida Munnetra Kazhagam
1226,"Kamaraj, Durai.","74,317",8.9%,Desiya Murpokku Dravida Kazhagam
1227,Kapil Muni Karwariya,"167,542",30.4%,Bahujan Samaj Party
1228,Shyama Charan Gupta,"152,964",27.7%,Samajwadi Party
1229,Dr. Sone Lal Patel,"76,699",13.9%,Independent
1230,Varun Gandhi,"419,539",50.1%,Bharatiya Janta Party
1231,V. M. Singh,"138,038",16.5%,Indian National Congress
1232,Riyaz Ahmad,"117,903",14.1%,Samajwadi Party
1233,Sugumar.K,"305,935",39.6%,All India Anna Dravida Munnetra Kazhagam
1234,Shanmugasundaram.K,"259,910",33.6%,Dravida Munetra Kazhagam
1235,Best S.Ramasamy,"103,004",13.3%,Kongu Nadu Munnetra Kazhagam
1236,Narayanasamy,"300,391",49.4%,Indian National Congress
1237,Ramadass. M,"208,619",34.3%,Pattali Makkal Katchi
1238,K.A.U. Asanaa,"52,638",8.6%,Desiya Murpokku Dravida Kazhagam
1239,E.T. Muhammed Basheer,"385,801",50.1%,Muslim League Kerala State Committee
1240,Dr. Hussain Randathani,"303,117",39.4%,Independent
1241,K. Janachandran Master,"57,710",7.5%,Bharatiya Janta Party
1242,Radadiya Vitthalbhai Hansrajbhai,"329,436",49.9%,Indian National Congress
1243,Khachariya Mansukhbhai Shamjibhai,"289,933",43.9%,Bharatiya Janta Party
1244,Chandravadiya Mehulkumar Karsanbhai,"14,713",2.2%,Bahujan Samaj Party
1245,Rajkumari Ratna Singh,"169,137",26.4%,Indian National Congress
1246,Prof. Shivakant Ojha,"139,358",21.7%,Bahujan Samaj Party
1247,Kunwar Akshaya Pratap Singh 'gopal Ji',"121,252",18.9%,Samajwadi Party
1248,Kalmadi Suresh,"279,973",38.1%,Indian National Congress
1249,Anil Shirole,"254,272",34.6%,Bharatiya Janta Party
1250,Shirole Ranjeet Shrikant,"75,930",10.3%,Maharashtra Navnirman Sena
1251,Pinaki Misra,"436,961",48.0%,Biju Janata Dal
1252,Debendra Nath Mansingh,"225,656",24.8%,Indian National Congress
1253,Braja Kishore Tripathy,"209,287",23.0%,Bharatiya Janta Party
1254,Uday Singh Alias Pappu Singh,"362,952",51.5%,Bharatiya Janta Party
1255,Shanti Priya,"176,725",25.1%,Independent
1256,Shankar Jha,"22,773",3.2%,Lok Jan Shakti Party
1257,Narahari Mahato,"399,201",44.1%,All India Forward Bloc
1258,Shantiram Mahato,"379,900",42.0%,Indian National Congress
1259,Ajit Prasad Mahato,"30,799",3.4%,Jharkhand Mukti Morcha
1260,Radha Mohan Singh,"201,114",41.7%,Bharatiya Janta Party
1261,Akhilesh Prasad Singh,"121,824",25.3%,Rashtriya Janata Dal
1262,Arvind Kumar Gupta,"68,323",14.2%,Indian National Congress
1263,Sonia Gandhi,"481,490",72.2%,Indian National Congress
1264,R.S.Kushwaha,"109,325",16.4%,Bahujan Samaj Party
1265,R.B.Singh,"25,444",3.8%,Bharatiya Janta Party
1266,Pakkirappa.S.,"316,450",46.4%,Bharatiya Janta Party
1267,Raja Venkatappa Naik,"285,814",41.9%,Indian National Congress
1268,K.Devanna Naik,"29,317",4.3%,Janata Dal (Secular)
1269,Anant Geete,"413,546",53.8%,Shiv Sena
1270,Barrister A.R. Antulay,"267,025",34.7%,Indian National Congress
1271,Adv. Pravin Madhukar Thakur,"39,159",5.1%,Independent
1272,Deepa Dasmunsi,"451,776",50.2%,Indian National Congress
1273,Bireswar Lahiri,"346,573",38.5%,Communist Party Of India (MARXIST)
1274,Gopesh Chandra Sarkar,"37,645",4.2%,Bharatiya Janta Party
1275,Vishnu Deo Sai,"443,948",47.4%,Bharatiya Janta Party
1276,Hridayaram Rathiya,"388,100",41.5%,Indian National Congress
1277,Bahadur Singh Rathia,"37,972",4.1%,Bahujan Samaj Party
1278,Ramesh Bais,"364,943",49.2%,Bharatiya Janta Party
1279,Bhupesh Baghel,"307,042",41.4%,Indian National Congress
1280,Vidhyadevi Sahu,"16,853",2.3%,Bahujan Samaj Party
1281,Aruna Kumar Vundavalli,"357,449",35.0%,Indian National Congress
1282,M. Murali Mohan,"355,302",34.8%,Telugu Desam
1283,Uppalapati Venkata Krishnam Raju,"253,437",24.8%,Praja Rajyam Party
1284,Annayyagari Sai Prathap,"423,910",42.5%,Indian National Congress
1285,Ramesh Kumar Reddy Reddappagari,"313,533",31.4%,Telugu Desam
1286,D.A. Srinivas,"180,537",18.1%,Praja Rajyam Party
1287,Narayansingh Amlabe,"319,371",49.0%,Indian National Congress
1288,Lakshman Singh,"294,983",45.3%,Bharatiya Janta Party
1289,Laxmansingh Aamdor,"11,311",1.7%,Independent
1290,Kuvarjibhai Mohanbhai Bavalia,"307,553",47.3%,Indian National Congress
1291,Kirankumar Valjibhai Bhalodia (Patel),"282,818",43.5%,Bharatiya Janta Party
1292,Dhedhi Daleechandbhai Lirabhai (Patel),"14,653",2.3%,Bahujan Samaj Party
1293,Devidhan Besra,"168,357",26.1%,Bharatiya Janta Party
1294,Hemlal Murmu,"159,374",24.7%,Jharkhand Mukti Morcha
1295,Thomas Hasda,"135,011",20.9%,Rashtriya Janata Dal
1296,Madhusudan Yadav,"437,721",52.7%,Bharatiya Janta Party
1297,Devwrat Singh,"318,647",38.4%,Indian National Congress
1298,D.R.Yadav Pracharya,"19,984",2.4%,Independent
1299,Gopal Singh,"294,451",49.8%,Indian National Congress
1300,Rasa Singh Rawat,"248,561",42.0%,Bharatiya Janta Party
1301,Surya Bhavani Singh Chawra,"13,746",2.3%,Independent
1302,Sivakumar @ J.K. Ritheesh. K,"294,945",37.8%,Dravida Munetra Kazhagam
1303,Sathiamoorthy. V,"225,030",28.9%,All India Anna Dravida Munnetra Kazhagam
1304,Thirunnavukkarasar. Su,"128,322",16.5%,Bharatiya Janta Party
1305,Jaya Prada Nahata,"230,724",38.1%,Samajwadi Party
1306,Begum Noor Bano Urf Mehtab Zamani Begum,"199,793",33.0%,Indian National Congress
1307,Ghan Shyam Singh Lodhi,"95,132",15.7%,Bahujan Samaj Party
1308,Wasnik Mukul Balkrishna,"311,614",40.7%,Indian National Congress
1309,Tumane Krupal Balaji,"294,913",38.5%,Shiv Sena
1310,Prakashbhau Kishan Tembhurne,"62,238",8.1%,Bahujan Samaj Party
1311,Sucharu Ranjan Haldar,"575,058",50.1%,All India Trinamool Congress
1312,Basudeb Barman,"473,235",41.2%,Communist Party Of India (MARXIST)
1313,Sukalyan Ray,"57,844",5.0%,Bharatiya Janta Party
1314,Subodh Kant Sahay,"310,499",42.9%,Indian National Congress
1315,Ram Tahal Choudhary,"297,149",41.0%,Bharatiya Janta Party
1316,Akhtar Ansari,"31,567",4.4%,Jharkhand Vikas Morcha (Prajatantrik)
1317,Kantilal Bhuria,"308,923",48.4%,Indian National Congress
1318,Dileepsingh Bhuria,"251,255",39.4%,Bharatiya Janta Party
1319,Rameshwor Singar,"22,946",3.6%,Independent
1320,Dr.Nilesh Narayan Rane,"353,915",49.2%,Indian National Congress
1321,Suresh Prabhu,"307,165",42.7%,Shiv Sena
1322,Surendra Borkar,"18,858",2.6%,Independent
1323,Haribhau Madhav Jawale,"328,843",45.7%,Bharatiya Janta Party
1324,Adv. Ravindra Pralhadrao Patil,"300,625",41.7%,Nationalist Congress Party
1325,Patil Suresh Chindhu,"33,641",4.7%,Bahujan Samaj Party
1326,Deoraj Singh Patel,"172,002",28.5%,Bahujan Samaj Party
1327,Sunder Lal Tiwari,"167,981",27.8%,Indian National Congress
1328,Chandra Mani Tripathi,"116,300",19.3%,Bharatiya Janta Party
1329,Pakauri Lal,"216,478",36.4%,Samajwadi Party
1330,Ram Chandra Tyagi,"166,219",27.9%,Bahujan Samaj Party
1331,Ram Shakal,"104,411",17.5%,Bharatiya Janta Party
1332,Deepender Singh,"585,016",70.0%,Indian National Congress
1333,Nafe Singh Rathee,"139,280",16.7%,Indian National Lok Dal
1334,Raj Kumar,"68,210",8.2%,Bahujan Samaj Party
1335,Chauhan Mahendrasinh,"337,432",47.0%,Bharatiya Janta Party
1336,Mistry Madhusudan,"320,272",44.6%,Indian National Congress
1337,Solanki Chhaganbhai Kevalabhai,"28,135",3.9%,Independent
1338,Bhupendra Singh,"323,954",56.8%,Bharatiya Janta Party
1339,Aslam Sher Khan,"192,786",33.8%,Indian National Congress
1340,Gouri Singh Yadav,"12,716",2.2%,Samajwadi Party
1341,Jagdish Singh Rana,"354,807",43.2%,Bahujan Samaj Party
1342,Rasheed Masood,"269,934",32.9%,Samajwadi Party
1343,Jaswant Singh Saini,"99,894",12.2%,Bharatiya Janta Party
1344,Semmalai S,"380,460",42.5%,All India Anna Dravida Munnetra Kazhagam
1345,Thangkabalu K V,"333,969",37.3%,Indian National Congress
1346,Alagaapuram R Mohanraj,"120,325",13.4%,Desiya Murpokku Dravida Kazhagam
1347,Ramashankar Rajbhar,"175,088",27.6%,Bahujan Samaj Party
1348,Dr. Bhola Pandey,"156,783",24.7%,Indian National Congress
1349,Harikewal,"135,414",21.3%,Samajwadi Party
1350,Maheshwar Hazari,"259,458",44.4%,Janata Dal (United)
1351,Ram Chandra Paswan,"155,082",26.5%,Lok Jan Shakti Party
1352,Dr. Ashok Kumar,"91,655",15.7%,Indian National Congress
1353,Amarnath Pradhan,"304,890",38.1%,Indian National Congress
1354,Rohit Pujari,"290,016",36.2%,Biju Janata Dal
1355,Surendra Lath,"150,910",18.9%,Bharatiya Janta Party
1356,Dr. Shafiqur Rahman Barq,"207,422",30.4%,Bahujan Samaj Party
1357,Iqbal Mehmood,"193,958",28.4%,Samajwadi Party
1358,Chandra Vijay,"129,228",18.9%,Indian National Congress
1359,Pratik Prakashbapu Patil,"378,620",48.6%,Indian National Congress
1360,Ajitrao Shankarrao Ghorpade,"338,837",43.5%,Independent
1361,Patel M.Javed M. Yusuf,"11,793",1.5%,Bahujan Samaj Party
1362,Vijay Inder Singla,"358,670",38.5%,Indian National Congress
1363,Sukhdev Singh Dhindsa,"317,798",34.1%,Shiromani Akali Dal
1364,Balwant Singh Ramuwalia,"115,012",12.4%,Lok Bhalai Party
1365,Bhisma Shankar Alias Kushal Tiwari,"211,043",26.3%,Bahujan Samaj Party
1366,Sharad Tripathi,"181,547",22.7%,Bharatiya Janta Party
1367,Bhal Chandra Yadav,"171,045",21.4%,Samajwadi Party
1368,Lalu Prasad,"274,209",47.2%,Rashtriya Janata Dal
1369,Rajiv Pratap Rudy,"222,394",38.3%,Bharatiya Janta Party
1370,Salim Perwez,"45,027",7.8%,Bahujan Samaj Party
1371,Murarilal Singh,"416,532",51.7%,Bharatiya Janta Party
1372,Bhanu Pratap Singh,"256,984",31.9%,Indian National Congress
1373,Dhan Singh Dhurve,"20,700",2.6%,Bahujan Samaj Party
1374,Meira Kumar,"192,213",32.1%,Indian National Congress
1375,Muni Lal,"149,259",24.9%,Bharatiya Janta Party
1376,Lalan Paswan,"109,498",18.3%,Rashtriya Janata Dal
1377,Bhonsle Shrimant Chh. Udyanraje Pratapsinhmaharaj,"532,583",65.2%,Nationalist Congress Party
1378,Purushottam Bajirao Jadhav,"235,068",28.8%,Shiv Sena
1379,Chavan Prashant Vasant,"25,112",3.1%,Bahujan Samaj Party
1380,Ganesh Singh,"194,624",29.5%,Bharatiya Janta Party
1381,Sukhlal Kushwaha,"190,206",28.8%,Bahujan Samaj Party
1382,Pt. Rajaram Tripathi,"130,339",19.7%,Samajwadi Party
1383,Anjan Kumar Yadav M,"340,549",39.3%,Indian National Congress
1384,Bandaru Dattatreya,"170,382",19.7%,Bharatiya Janta Party
1385,Srinivasa Sudhish Rambhotla,"135,604",15.7%,Telugu Desam
1386,Rajesh Nandini Singh,"263,434",41.8%,Indian National Congress
1387,Narendra Singh Maravi,"250,019",39.7%,Bharatiya Janta Party
1388,Ramratan Singh Pavle,"30,967",4.9%,Gondvana Gantantra Party
1389,Mithlesh,"257,033",32.4%,Samajwadi Party
1390,Sunita Singh,"186,454",23.5%,Bahujan Samaj Party
1391,Krishna Raj,"168,434",21.3%,Bharatiya Janta Party
1392,Rama Devi,"233,499",40.7%,Bharatiya Janta Party
1393,Md. Anwarul Haque,"107,815",18.8%,Bahujan Samaj Party
1394,Sitaram Singh,"89,584",15.6%,Rashtriya Janata Dal
1395,Vincent H Pala,"232,270",48.3%,Indian National Congress
1396,John Filmore Kharshiing,"124,402",25.9%,United Democratic Party
1397,P. B. M. Basaiawmoit,"97,613",20.3%,Hill State People's Democratic Party
1398,Virender Kashyap,"310,946",50.4%,Bharatiya Janta Party
1399,Dhani Ram Shandil,"283,619",46.0%,Indian National Congress
1400,Som Nath,"8,160",1.3%,Bahujan Samaj Party
1401,B.Y. Raghavendra,"482,783",50.6%,Bharatiya Janta Party
1402,S. Bangarappa,"429,890",45.0%,Indian National Congress
1403,H.S. Shekarappa,"10,850",1.1%,Independent
1404,Wakchaure Bhausaheb Rajaram,"359,921",54.2%,Shiv Sena
1405,Athawale Ramdas Bandu,"227,170",34.2%,Republican Party Of India (A)
1406,Rupwate Premanand Damodar,"22,787",3.4%,Independent
1407,Adhalrao Shivaji Dattatray,"482,563",57.5%,Shiv Sena
1408,Vilas Vithoba Lande,"303,952",36.2%,Nationalist Congress Party
1409,Zagade Yashwant Sitaram,"17,439",2.1%,Bahujan Samaj Party
1410,Vinay Kumar Alias Vinnu,"201,556",33.3%,Indian National Congress
1411,Rizvan Zaheer,"159,527",26.4%,Bahujan Samaj Party
1412,Rubab Saida,"111,247",18.4%,Samajwadi Party
1413,Govind Prasad Mishra,"270,914",40.1%,Bharatiya Janta Party
1414,Indrajeet Kumar,"225,174",33.3%,Indian National Congress
1415,Veena Singh (Veena Didi),"66,985",9.9%,Independent
1416,Mahadev Singh,"324,812",44.7%,Indian National Congress
1417,Subhash Maharia,"175,386",24.2%,Bharatiya Janta Party
1418,Amararam,"161,590",22.3%,Communist Party Of India (MARXIST)
1419,Prem Das Rai,"159,351",62.0%,Sikkim Democratic Front
1420,Kharananda Upreti,"74,483",29.0%,Indian National Congress
1421,Tara Kr. Pradhan,"4,639",1.8%,Sikkim Himali Rajya Parishad
1422,Kabindra Purkayastha,"243,532",35.4%,Bharatiya Janta Party
1423,Badruddin Ajmal,"202,062",29.3%,Assam United Democratic Front
1424,Sontosh Mohan Dev,"197,244",28.6%,Indian National Congress
1425,Madhu Kora,"256,827",44.3%,Independent
1426,Barkuwar Gagrai,"167,154",28.8%,Bharatiya Janta Party
1427,Bagun Sumbrai,"95,604",16.5%,Indian National Congress
1428,Ashok Tanwar,"415,584",42.3%,Indian National Congress
1429,Dr. Sita Ram,"380,085",38.7%,Indian National Lok Dal
1430,Rajesh Kumar,"76,010",7.7%,Bahujan Samaj Party
1431,Arjun Roy,"232,782",40.4%,Janata Dal (United)
1432,Samir Kumar Mahaseth,"122,216",21.2%,Indian National Congress
1433,Sitaram Yadav,"118,798",20.6%,Rashtriya Janata Dal
1434,Kaisar Jahan,"241,106",34.2%,Bahujan Samaj Party
1435,Mahendra Singh Verma,"221,474",31.4%,Samajwadi Party
1436,Ram Lal Rahi,"117,281",16.6%,Indian National Congress
1437,Chidambaram P,"334,348",43.1%,Indian National Congress
1438,Raja Kannappan R.S.,"330,994",42.7%,All India Anna Dravida Munnetra Kazhagam
1439,Barwatha Regina Papa,"60,054",7.7%,Desiya Murpokku Dravida Kazhagam
1440,Om Prakash Yadav,"236,194",36.8%,Independent
1441,Hena Shahab,"172,764",26.9%,Rashtriya Janata Dal
1442,Amar Nath Yadav,"72,988",11.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
1443,Shinde Sushilkumar Sambhajirao,"387,591",52.1%,Indian National Congress
1444,Adv. Bansode Sharad Maruti,"287,959",38.7%,Bharatiya Janta Party
1445,Gaikwad Pramod Ramchandra,"30,457",4.1%,Bahujan Samaj Party
1446,Jitender Singh,"338,795",47.6%,Indian National Congress
1447,Kishan Singh Sangwan,"177,511",24.9%,Bharatiya Janta Party
1448,Devraj Diwan,"112,837",15.8%,Bahujan Samaj Party
1449,Ramesh Kumar,"360,278",49.3%,Indian National Congress
1450,Ramesh Bidhuri,"267,059",36.5%,Bharatiya Janta Party
1451,Kanwar Singh Tanwar,"88,120",12.0%,Bahujan Samaj Party
1452,Cosme Francisco Caitano Sardinha,"127,494",46.8%,Indian National Congress
1453,Adv. Narendra Keshav Sawaikar,"114,978",42.2%,Bharatiya Janta Party
1454,Matanhy Saldanha,"16,727",6.1%,United Goans Democratic Party
1455,Kalyan Banerjee,"569,725",52.7%,All India Trinamool Congress
1456,Santasri Chatterjee,"432,535",40.0%,Communist Party Of India (MARXIST)
1457,Debabrata Chowdhury,"38,476",3.6%,Bharatiya Janta Party
1458,Killi Krupa Rani,"387,694",42.1%,Indian National Congress
1459,Yerrnnaidu Kinjarapu,"304,707",33.1%,Telugu Desam
1460,Kalyani Varudu,"181,100",19.6%,Praja Rajyam Party
1461,Farooq Abdullah,"147,035",52.0%,Jammu &amp; Kashmir National Conference
1462,Iftikhar Hussain Ansari,"116,793",41.3%,Jammu &amp; Kashmir Peoples Democratic Party
1463,Mohd Alyas Kumar,"4,540",1.6%,Independent
1464,Baalu T R,"352,641",44.4%,Dravida Munetra Kazhagam
1465,Moorthy A K,"327,605",41.2%,Pattali Makkal Katchi
1466,Arun Subramanian M,"84,530",10.6%,Desiya Murpokku Dravida Kazhagam
1467,Dr.Sanjay Singh,"300,411",42.4%,Indian National Congress
1468,Mohd.Tahir,"201,632",28.5%,Bahujan Samaj Party
1469,Ashok Pandey,"107,895",15.2%,Samajwadi Party
1470,Hemanand Biswal,"280,054",36.5%,Indian National Congress
1471,Jual Oram,"268,430",35.0%,Bharatiya Janta Party
1472,Livinus Kindo,"74,558",9.7%,Jharkhand Mukti Morcha
1473,Vishwa Mohan Kumar,"313,677",45.0%,Janata Dal (United)
1474,Ranjeet Ranjan,"147,602",21.2%,Indian National Congress
1475,Surya Narayan Yadav,"93,094",13.3%,Lok Jan Shakti Party
1476,Shrimati Darshana Vikram Jardosh,"364,947",52.4%,Bharatiya Janta Party
1477,Gajera Dhirubhai Haribhai,"290,149",41.7%,Indian National Congress
1478,Fakirbhai Chauhan,"15,519",2.2%,Mahagujarat Janta Party
1479,Koli Patel Somabhai Gandalal,"247,710",42.2%,Indian National Congress
1480,Mer Laljibhai Chaturbhai,"242,879",41.4%,Bharatiya Janta Party
1481,Patel Mohanbhai Dahyabhai,"31,971",5.5%,Bahujan Samaj Party
1482,Adhikari Suvendu,"637,664",55.5%,All India Trinamool Congress
1483,Lakshman Chandra Seth,"464,706",40.5%,Communist Party Of India (MARXIST)
1484,Rajyashree Chaudhuri,"20,573",1.8%,Bharatiya Janta Party
1485,Vijay Bahuguna,"263,083",44.9%,Indian National Congress
1486,Jaspal Rana,"210,144",35.9%,Bharatiya Janta Party
1487,Munna Singh Chauhan,"74,345",12.7%,Bahujan Samaj Party
1488,Lingam P,"281,174",37.6%,Communist Party Of India
1489,Vellaipandi G,"246,497",33.0%,Indian National Congress
1490,"Krishnasamy, Dr. K","116,685",15.6%,Puthiya Tamilagam
1491,Joseph Toppo,"352,246",41.8%,Asom Gana Parisad
1492,Moni Kumar Subba,"322,093",38.2%,Indian National Congress
1493,Deba Orang,"46,255",5.5%,Assam United Democratic Front
1494,Dr.Sanjeev Ganesh Naik,"301,000",40.1%,Nationalist Congress Party
1495,Chaugule Vijay Laxman,"251,980",33.6%,Shiv Sena
1496,Rajan Raje,"134,840",18.0%,Maharashtra Navnirman Sena
1497,Palanimanickam.S.S,"408,343",50.5%,Dravida Munetra Kazhagam
1498,Durai.Balakrishnan,"306,556",37.9%,Marumalarchi Dravida Munnetra Kazhagam
1499,Ramanathan.P.Dr,"63,852",7.9%,Desiya Murpokku Dravida Kazhagam
1500,Aaron Rashid.J.M,"340,575",42.5%,Indian National Congress
1501,Thanga Tamilselvan,"334,273",41.8%,All India Anna Dravida Munnetra Kazhagam
1502,Santhanam.M.G.,"70,908",8.9%,Desiya Murpokku Dravida Kazhagam
1503,Venugopal.P,"368,294",43.3%,All India Anna Dravida Munnetra Kazhagam
1504,Gayathri.S,"336,621",39.6%,Dravida Munetra Kazhagam
1505,Suresh.R,"110,452",13.0%,Desiya Murpokku Dravida Kazhagam
1506,Shashi Tharoor,"326,725",44.2%,Indian National Congress
1507,Adv. P Ramachandran Nair,"226,727",30.6%,Communist Party Of India
1508,Dr.A Neelalohithadasan Nadar,"86,233",11.7%,Bahujan Samaj Party
1509,Jeyadurai.S.R,"311,017",47.4%,Dravida Munetra Kazhagam
1510,Cynthia Pandian.Dr,"234,368",35.7%,All India Anna Dravida Munnetra Kazhagam
1511,Sunther.M.S,"61,403",9.4%,Desiya Murpokku Dravida Kazhagam
1512,P C Chacko,"385,297",47.1%,Indian National Congress
1513,C N Jayadevan,"360,146",44.1%,Communist Party Of India
1514,Rema Regunandan,"54,680",6.7%,Bharatiya Janta Party
1515,Virendra Kumar,"200,109",38.1%,Bharatiya Janta Party
1516,Ahirwar Vrindavan,"158,247",30.1%,Indian National Congress
1517,Chintaman Kori Rampuriya,"80,625",15.3%,Samajwadi Party
1518,Kumar.P,"298,710",41.5%,All India Anna Dravida Munnetra Kazhagam
1519,Sarubala.R.Thondaiman,"294,375",40.9%,Indian National Congress
1520,Vijaykumar.Amg,"61,742",8.6%,Desiya Murpokku Dravida Kazhagam
1521,Ramasubbu S,"274,932",39.2%,Indian National Congress
1522,Annamalai K,"253,629",36.2%,All India Anna Dravida Munnetra Kazhagam
1523,Michael Rayappan S,"94,562",13.5%,Desiya Murpokku Dravida Kazhagam
1524,Chinta Mohan,"428,403",40.2%,Indian National Congress
1525,Varla Ramaiah,"409,127",38.4%,Telugu Desam
1526,Varaprasada Rao. V,"171,638",16.1%,Praja Rajyam Party
1527,Sivasami C,"295,731",39.8%,All India Anna Dravida Munnetra Kazhagam
1528,Kharventhan S K,"210,385",28.3%,Indian National Congress
1529,Balasubramanian K,"95,299",12.8%,Kongu Nadu Munnetra Kazhagam
1530,Venugopal.D,"436,866",51.9%,Dravida Munetra Kazhagam
1531,Guru (A) Gurunathan. J,"288,566",34.3%,Pattali Makkal Katchi
1532,Manikandan.S,"56,960",6.8%,Desiya Murpokku Dravida Kazhagam
1533,Namo Narain,"375,572",46.8%,Indian National Congress
1534,Kirori Singh Bainsla,"375,255",46.8%,Bharatiya Janta Party
1535,Surendera Vyas,"23,457",2.9%,Bahujan Samaj Party
1536,Baju Ban Riyan,"521,084",63.2%,Communist Party Of India (MARXIST)
1537,Diba Chandra Hrangkhawl,"225,503",27.4%,Indian National Congress
1538,Pulin Behari Dewan,"33,989",4.1%,Bharatiya Janta Party
1539,Khagen Das,"563,799",59.9%,Communist Party Of India (MARXIST)
1540,Sudip Roy Barman,"315,250",33.5%,Indian National Congress
1541,Nilmani Deb,"25,468",2.7%,Bharatiya Janta Party
1542,G.S. Basavaraj,"331,064",36.8%,Bharatiya Janta Party
1543,Muddahanumegowda S.P.,"309,619",34.4%,Janata Dal (Secular)
1544,P. Kodandaramaiah,"177,726",19.7%,Indian National Congress
1545,Agatha K. Sangma,"154,476",45.1%,Nationalist Congress Party
1546,Debora C. Marak,"136,531",39.9%,Indian National Congress
1547,Boston Marak,"40,204",11.7%,A-Chik National Congress(Democratic)
1548,Raghuvir Singh Meena,"411,510",54.2%,Indian National Congress
1549,Mahaveer Bhagora,"246,585",32.5%,Bharatiya Janta Party
1550,Meghraj Tawar,"27,324",3.6%,Communist Party Of India
1551,Ch. Lal Singh,"231,853",37.9%,Indian National Congress
1552,Dr. Nirmal Singh,"218,459",35.7%,Bharatiya Janta Party
1553,Prof. Bhim Singh,"69,463",11.4%,J &amp; K National Panthers Party
1554,D.V.Sadananda Gowda,"401,441",48.0%,Bharatiya Janta Party
1555,K.Jayaprakash Hegde,"374,423",44.8%,Indian National Congress
1556,Radha Sundaresh,"24,991",3.0%,Communist Party Of India
1557,Aswamedh Devi,"180,082",31.9%,Janata Dal (United)
1558,Alok Kumar Mehta,"154,770",27.4%,Rashtriya Janata Dal
1559,Ramdeo Verma,"58,900",10.4%,Communist Party Of India (MARXIST)
1560,Guddu Premchand,"326,905",49.0%,Indian National Congress
1561,Dr. Satyanarayan Jatiya,"311,064",46.6%,Bharatiya Janta Party
1562,Baboolal Thawaliya,"9,224",1.4%,Bahujan Samaj Party
1563,Sultan Ahmed,"514,193",50.9%,All India Trinamool Congress
1564,Hannan Mollah,"415,257",41.1%,Communist Party Of India (MARXIST)
1565,Rahul Chakrabarty,"42,434",4.2%,Bharatiya Janta Party
1566,Annutandon,"475,476",52.6%,Indian National Congress
1567,Arunshankarshukla,"173,384",19.2%,Bahujan Samaj Party
1568,Deepakkumar,"145,139",16.0%,Samajwadi Party
1569,Anantkumar Hegde,"339,300",44.6%,Bharatiya Janta Party
1570,Margaret Alva,"316,531",41.6%,Indian National Congress
1571,V D Hegade,"48,850",6.4%,Janata Dal (Secular)
