,Place,Rank,Name,No.of votes,Percentage of votes,Party
1284,Madhubani,1,Hukm Deo Narayan Yadav,"358,040",41.6%,Bharatiya Janta Party
1285,,2,Abdul Bari Siddiqui,"337,505",39.2%,Rashtriya Janata Dal
1286,,3,Prof. Ghulam Ghous,"56,392",6.6%,Janata Dal (United)
1287,,,,,,
1288,Madurai,1,R.Gopalakrishnan,"454,167",46.4%,All India Anna Dravida Munnetra Kazhagam
1289,,2,V Velusamy,"256,731",26.2%,Dravida Munetra Kazhagam
1290,,3,D Sivamuthu Kumar,"147,300",15.1%,Desiya Murpokku Dravida Kazhagam
1291,,,,,,
1292,Mahabubabad,1,Prof. Azmeera Seetaram Naik,"320,569",28.5%,Telangana Rashtra Samithi
1293,,2,P. Balram,"285,577",25.4%,Indian National Congress
1294,,3,Banoth Mohanlal,"215,904",19.2%,Telugu Desam
1295,,,,,,
1296,Maharajganj,1,Pankaj,"471,542",44.7%,Bharatiya Janta Party
1297,,2,Kashi Nath Shukla,"231,084",21.9%,Bahujan Samaj Party
1298,,3,Akhilesh,"213,974",20.3%,Samajwadi Party
1299,,,,,,
1300,Maharajganj,1,Janardan Singh Sigriwal,"320,753",37.9%,Bharatiya Janta Party
1301,,2,Prabhu Nath Singh,"282,338",33.3%,Rashtriya Janata Dal
1302,,3,Manoranjan Singh,"149,483",17.7%,Janata Dal (United)
1303,,,,,,
1304,Mahasamund,1,Chandu Lal Sahu (CHANDU BHAIYA),"503,514",44.5%,Bharatiya Janta Party
1305,,2,Ajit Jogi,"502,297",44.4%,Indian National Congress
1306,,3,Chandu Lal Sahu,"20,255",1.8%,Independent
1307,,,,,,
1308,Mahbubnagar,1,Ap Jithender Reddy,"334,228",32.9%,Telangana Rashtra Samithi
1309,,2,Jaipal Reddy Sudini,"331,638",32.7%,Indian National Congress
1310,,3,Dr. Janardhan Reddy Nagam,"272,791",26.9%,Bharatiya Janta Party
1311,,,,,,
1312,Mahesana,1,Patel Jayshreeben Kanubhai,"580,250",57.8%,Bharatiya Janta Party
1313,,2,Patel Jivabhai Ambalal,"371,359",37.0%,Indian National Congress
1314,,3,Thakor Kevalji Nathaji,"9,766",1.0%,Bahujan Samaj Party
1315,,,,,,
1316,Mainpuri,1,Mulayam Singh Yadav,"595,918",59.6%,Samajwadi Party
1317,,2,Shatrughan Singh Chauhan,"231,252",23.1%,Bharatiya Janta Party
1318,,3,Dr. Sanghmitra Maurya,"142,833",14.3%,Bahujan Samaj Party
1319,,,,,,
1320,Malappuram,1,E. Ahamed,"437,723",51.3%,Indian Union Muslim League
1321,,2,P.K.Sainaba,"242,984",28.5%,Communist Party Of India (MARXIST)
1322,,3,Adv. N.Sreeprakash,"64,705",7.6%,Bharatiya Janta Party
1323,,,,,,
1324,Maldaha Dakshin,1,Abu Hasem Khan Chowdhury,"380,291",34.8%,Indian National Congress
1325,,2,Bisnu Pada Roy,"216,180",19.8%,Bharatiya Janta Party
1326,,3,Abul Hasnat Khan,"209,480",19.2%,Communist Party Of India (MARXIST)
1327,,,,,,
1328,Maldaha Uttar,1,Mausam Noor,"388,609",33.4%,Indian National Congress
1329,,2,Khagen Murmu,"322,904",27.8%,Communist Party Of India (MARXIST)
1330,,3,Soumitra Ray,"197,313",17.0%,All India Trinamool Congress
1331,,,,,,
1332,Malkajgiri,1,Ch.Malla Reddy,"523,336",32.3%,Telugu Desam
1333,,2,Hanumanth Rao Mynampally,"494,965",30.5%,Telangana Rashtra Samithi
1334,,3,Sarvey Sathyanarayana,"233,711",14.4%,Indian National Congress
1335,,,,,,
1336,Mandi,1,Ram Swaroop Sharma,"362,824",50.0%,Bharatiya Janta Party
1337,,2,Pratibha Singh,"322,968",44.5%,Indian National Congress
1338,,3,Kushal Bhardwaj,"13,965",1.9%,Communist Party Of India (MARXIST)
1339,,,,,,
1340,Mandla,1,Faggan Singh Kulaste,"585,720",48.1%,Bharatiya Janta Party
1341,,2,Omkar Singh Markam,"475,251",39.0%,Indian National Congress
1342,,3,Anuj Ganga Singh Patta,"56,572",4.6%,Gondvana Gantantra Party
1343,,,,,,
1344,Mandsour,1,Sudhir Gupta,"698,335",60.1%,Bharatiya Janta Party
1345,,2,Meenakshi Natarajan,"394,686",34.0%,Indian National Congress
1346,,3,Paras Saklecha Dada,"10,183",0.9%,Aam Aadmi Party
1347,,,,,,
1348,Mandya,1,C.S.Puttaraju,"524,370",44.0%,Janata Dal (Secular)
1349,,2,Ramya,"518,852",43.5%,Indian National Congress
1350,,3,Prof. B.Shivalingaiah,"86,993",7.3%,Bharatiya Janta Party
1351,,,,,,
1352,Mangaldoi,1,Ramen Deka,"486,357",39.4%,Bharatiya Janta Party
1353,,2,Kirip Chaliha,"463,473",37.6%,Indian National Congress
1354,,3,Sahadev Das,"86,347",7.0%,Bodaland Peoples Front
1355,,,,,,
1356,Mathura,1,Hema Malini,"574,633",53.4%,Bharatiya Janta Party
1357,,2,Jayant Chaudhary,"243,890",22.6%,Rashtriya Lok Dal
1358,,3,Pt. Yogesh Kumar Dwivedi,"173,572",16.1%,Bahujan Samaj Party
1359,,,,,,
1360,Mathurapur,1,Choudhury Mohan Jatua,"627,761",49.6%,All India Trinamool Congress
1361,,2,Rinku Naskar,"489,325",38.7%,Communist Party Of India (MARXIST)
1362,,3,Tapan Naskar,"65,965",5.2%,Bharatiya Janta Party
1363,,,,,,
1364,Maval,1,Appa Alias Shrirang Chandu Barne,"512,226",43.6%,Shiv Sena
1365,,2,Jagtap Laxmanbhau Pandurang,"354,829",30.2%,Peasants And Workers Party Of India
1366,,3,Narwekar Rahul Suresh,"182,293",15.5%,Nationalist Congress Party
1367,,,,,,
1368,Mavelikara,1,Kodikunnil Suresh,"402,432",45.3%,Indian National Congress
1369,,2,Chengara Surendran,"369,695",41.6%,Communist Party Of India
1370,,3,Adv.P.Sudheer,"79,743",9.0%,Bharatiya Janta Party
1371,,,,,,
1372,Mayiladuthurai,1,Bharathi Mohan R.K,"513,729",50.1%,All India Anna Dravida Munnetra Kazhagam
1373,,2,Hyder Ali.S,"236,679",23.1%,Manithaneya Makkal Katchi
1374,,3,Agoram. K,"144,085",14.0%,Pattali Makkal Katchi
1375,,,,,,
1376,Mayurbhanj,1,Rama Chandra Hansdah,"393,779",37.4%,Biju Janata Dal
1377,,2,Nepole Raghu Murmu,"270,913",25.7%,Bharatiya Janta Party
1378,,3,Debashis Marndi,"172,984",16.4%,Jharkhand Mukti Morcha
1379,,,,,,
1380,Medak,1,Kalvakuntla Chandrasekhar Rao,"657,492",55.2%,Telangana Rashtra Samithi
1381,,2,Dr.P. Shravan Kumar Reddy,"260,463",21.9%,Indian National Congress
1382,,3,Chaganla Narendra Nath,"181,804",15.3%,Bharatiya Janta Party
1383,,,,,,
1384,Medinipur,1,Sandhya Roy,"579,860",46.0%,All India Trinamool Congress
1385,,2,Prabodh Panda,"395,194",31.4%,Communist Party Of India
1386,,3,Prabhakar Tewari,"180,112",14.3%,Bharatiya Janta Party
1387,,,,,,
1388,Meerut,1,Rajendra Agarwal,"532,981",47.9%,Bharatiya Janta Party
1389,,2,Mohd.Shahid Akhlak,"300,655",27.0%,Bahujan Samaj Party
1390,,3,Shahid Manzoor,"211,759",19.0%,Samajwadi Party
1391,,,,,,
1392,Mirzapur,1,Anupriya Singh Patel,"436,536",43.3%,Apna Dal
1393,,2,Samudra Bind,"217,457",21.6%,Bahujan Samaj Party
1394,,3,Lalitesh Pati Tripathi,"152,666",15.2%,Indian National Congress
1395,,,,,,
1396,Misrikh,1,Anju Bala,"412,575",41.3%,Bharatiya Janta Party
1397,,2,Ashok Kumar Rawat,"325,212",32.6%,Bahujan Samaj Party
1398,,3,Jai Prakash,"194,759",19.5%,Samajwadi Party
1399,,,,,,
1400,Mizoram,1,C. L. Ruala,"210,485",48.6%,Indian National Congress
1401,,2,Robert Romawia Royte,"204,331",47.2%,Independent
1402,,3,M.Lalmanzuala,"11,890",2.7%,Aam Aadmi Party
1403,,,,,,
1404,Mohanlalganj,1,Kaushal Kishore,"455,274",40.8%,Bharatiya Janta Party
1405,,2,R.K Chaudhary,"309,858",27.8%,Bahujan Samaj Party
1406,,3,Sushila Saroj,"242,366",21.7%,Samajwadi Party
1407,,,,,,
1408,Moradabad,1,Kunwer Sarvesh Kumar,"485,224",43.0%,Bharatiya Janta Party
1409,,2,Dr S T Hasan,"397,720",35.3%,Samajwadi Party
1410,,3,Haji Mohd Yaqoob,"160,945",14.3%,Bahujan Samaj Party
1411,,,,,,
1412,Morena,1,Anoop Mishra,"375,567",44.0%,Bharatiya Janta Party
1413,,2,Brindawan Singh Sikarwar,"242,586",28.4%,Bahujan Samaj Party
1414,,3,Dr Govind Singh,"184,253",21.6%,Indian National Congress
1415,,,,,,
1416,Mumbai North,1,Gopal Chinayya Shetty,"664,004",70.1%,Bharatiya Janta Party
1417,,2,Sanjay Brijkishorlal Nirupam,"217,422",23.0%,Indian National Congress
1418,,3,Satish Parasmal Jain,"32,364",3.4%,Aam Aadmi Party
1419,,,,,,
1420,Mumbai North Central,1,Poonam Mahajan Alias Poonam Vajendla Rao,"478,535",56.6%,Bharatiya Janta Party
1421,,2,Dutt Priya Sunil,"291,764",34.5%,Indian National Congress
1422,,3,Phiroze Palkhivala,"34,824",4.1%,Aam Aadmi Party
1423,,,,,,
1424,Mumbai North East,1,Kirit Somaiya,"525,285",61.0%,Bharatiya Janta Party
1425,,2,Sanjay Dina Patil,"208,163",24.2%,Nationalist Congress Party
1426,,3,Medha Patkar,"76,451",8.9%,Aam Aadmi Party
1427,,,,,,
1428,Mumbai North West,1,Gajanan Chandrakant Kirtikar,"464,820",51.9%,Shiv Sena
1429,,2,Kamat Gurudas Vasant,"281,792",31.5%,Indian National Congress
1430,,3,Mahesh Waman Manjrekar,"66,088",7.4%,Maharashtra Navnirman Sena
1431,,,,,,
1432,Mumbai South,1,Arvind Sawant,"374,780",48.0%,Shiv Sena
1433,,2,Deora Milind Murli,"246,632",31.6%,Indian National Congress
1434,,3,Bala Nandgaonkar,"84,864",10.9%,Maharashtra Navnirman Sena
1435,,,,,,
1436,Mumbai South Central,1,Rahul Ramesh Shewale,"381,275",49.6%,Shiv Sena
1437,,2,Eknath M. Gaikwad,"242,933",31.6%,Indian National Congress
1438,,3,Aditya Rajan Shirodkar,"73,113",9.5%,Maharashtra Navnirman Sena
1439,,,,,,
1440,Munger,1,Veena Devi,"352,911",38.6%,Lok Jan Shakti Party
1441,,2,Rajiv Ranjan Singh Alias Lalan Singh,"243,827",26.7%,Janata Dal (United)
1442,,3,Pragati Mehta,"182,971",20.0%,Rashtriya Janata Dal
1443,,,,,,
1444,Murshidabad,1,Badaruddoza Khan,"426,947",33.2%,Communist Party Of India (MARXIST)
1445,,2,Abdul Mannan Hossain,"408,494",31.7%,Indian National Congress
1446,,3,Ali Mohammad,"289,027",22.4%,All India Trinamool Congress
1447,,,,,,
1448,Muzaffarnagar,1,(DR.) SANJEEV KUMAR BALYAN,"653,391",59.0%,Bharatiya Janta Party
1449,,2,Kadir Rana,"252,241",22.8%,Bahujan Samaj Party
1450,,3,Virender Singh,"160,810",14.5%,Samajwadi Party
1451,,,,,,
1452,Muzaffarpur,1,Ajay Nishad,"469,295",49.5%,Bharatiya Janta Party
1453,,2,Akhilesh Pd Singh,"246,873",26.0%,Indian National Congress
1454,,3,Vijendra Chaudhary,"85,140",9.0%,Janata Dal (United)
1455,,,,,,
1456,Mysore,1,Prathap Simha,"503,908",43.5%,Bharatiya Janta Party
1457,,2,Adagooru H Vishwanath,"472,300",40.7%,Indian National Congress
1458,,3,Chandrashekaraiah,"138,587",12.0%,Janata Dal (Secular)
1459,,,,,,
1460,Nabarangpur,1,Balabhadra Majhi,"373,887",36.6%,Biju Janata Dal
1461,,2,Pradeep Kumar Majhi,"371,845",36.4%,Indian National Congress
1462,,3,Parsuram Majhi,"138,430",13.5%,Bharatiya Janta Party
1463,,,,,,
1464,Nagaland,1,Neiphiu Rio,"713,372",68.7%,Naga Peoples Front
1465,,2,K. V. Pusa,"313,147",30.1%,Indian National Congress
1466,,3,Akhei Achumi,"9,695",0.9%,Socialist Party (India)
1467,,,,,,
1468,Nagapattinam,1,Gopal. Dr. K,"434,174",46.1%,All India Anna Dravida Munnetra Kazhagam
1469,,2,Vijayan. A.K.S,"328,095",34.8%,Dravida Munetra Kazhagam
1470,,3,Palanisamy. G,"90,313",9.6%,Communist Party Of India
1471,,,,,,
1472,Nagarkurnool,1,Yellaiah Nandi,"420,075",37.9%,Indian National Congress
1473,,2,Dr. Manda Jagannath,"403,399",36.4%,Telangana Rashtra Samithi
1474,,3,Bakkani Narsimlu,"183,352",16.5%,Telugu Desam
1475,,,,,,
1476,Nagaur,1,C R Choudhary,"414,791",41.3%,Bharatiya Janta Party
1477,,2,Dr Jyoti Mirdha,"339,573",33.8%,Indian National Congress
1478,,3,Hanuman Beniwal,"159,980",15.9%,Independent
1479,,,,,,
1480,Nagina,1,Yashwant Singh,"367,825",39.0%,Bharatiya Janta Party
1481,,2,Yashvir Singh,"275,435",29.2%,Samajwadi Party
1482,,3,Girish Chandra,"245,685",26.1%,Bahujan Samaj Party
1483,,,,,,
1484,Nagpur,1,Gadkari Nitin Jairam,"587,767",54.2%,Bharatiya Janta Party
1485,,2,Vilas Muttemwar,"302,939",27.9%,Indian National Congress
1486,,3,Dr. Mohan Ramrao Gaikwad,"96,433",8.9%,Bahujan Samaj Party
1487,,,,,,
1488,Nainital-Udhamsingh Nagar,1,Bhagat Singh Koshyari,"636,769",57.8%,Bharatiya Janta Party
1489,,2,K.C.Singh Baba,"352,052",32.0%,Indian National Congress
1490,,3,Laik Ahmed,"59,245",5.4%,Bahujan Samaj Party
1491,,,,,,
1492,Nalanda,1,Kaushlendra Kumar,"321,982",34.9%,Janata Dal (United)
1493,,2,Satya Nand Sharma,"312,355",33.9%,Lok Jan Shakti Party
1494,,3,Ashish Ranjan Sinha,"127,270",13.8%,Indian National Congress
1495,,,,,,
1496,Nalgonda,1,Gutha Sukhender Reddy,"472,093",39.7%,Indian National Congress
1497,,2,Tera Chinnapa Reddy,"278,937",23.5%,Telugu Desam
1498,,3,Dr. Palla Rajeshwar Reddy,"260,677",21.9%,Telangana Rashtra Samithi
1499,,,,,,
1500,Namakkal,1,Sundaram P.R,"563,272",53.2%,All India Anna Dravida Munnetra Kazhagam
1501,,2,Gandhiselvan.S,"268,898",25.4%,Dravida Munetra Kazhagam
1502,,3,Vel S.K,"146,882",13.9%,Desiya Murpokku Dravida Kazhagam
1503,,,,,,
1504,Nanded,1,Ashok Shankarrao Chavan,"493,075",48.7%,Indian National Congress
1505,,2,D. B. Patil,"411,620",40.6%,Bharatiya Janta Party
1506,,3,Rajratna Ambedkar,"28,447",2.8%,Bahujan Mukti Party
1507,,,,,,
1508,Nandurbar,1,Dr.Gavit Heena Vaijaykumar,"579,486",51.9%,Bharatiya Janta Party
1509,,2,Gavit Manikrao Hodlya,"472,581",42.3%,Indian National Congress
1510,,3,Vasave Amit Sheklal,"12,133",1.1%,Bahujan Samaj Party
1511,,,,,,
1512,Nandyal,1,S.P.Y Reddy,"622,411",51.7%,Yuvajana Sramika Rythu Congress Party
1513,,2,N.Md.Farook,"516,645",42.9%,Telugu Desam
1514,,3,B.Y.Ramaiah,"16,378",1.4%,Indian National Congress
1515,,,,,,
1516,Narasaraopet,1,Sambasiva Rao Rayapati,"632,464",49.3%,Telugu Desam
1517,,2,Ayodhya Ramireddy Alla,"597,184",46.6%,Yuvajana Sramika Rythu Congress Party
1518,,3,Kondapalli Venkateswarlu,"22,943",1.8%,Indian National Congress
1519,,,,,,
1520,Narsapuram,1,Gokaraju Ganga Raju,"540,306",49.6%,Bharatiya Janta Party
1521,,2,Vanka Ravindranath,"454,955",41.8%,Yuvajana Sramika Rythu Congress Party
1522,,3,Kanumuru Bapi Raju,"27,083",2.5%,Indian National Congress
1523,,,,,,
1524,Nashik,1,Godse Hemant Tukaram,"494,735",52.8%,Shiv Sena
1525,,2,Chhagan Bhujbal,"307,399",32.8%,Nationalist Congress Party
1526,,3,Dr. Pradeep Pawar,"63,050",6.7%,Maharashtra Navnirman Sena
1527,,,,,,
1528,Navsari,1,C. R. Patil,"820,831",70.7%,Bharatiya Janta Party
1529,,2,Maksud Mirza,"262,715",22.6%,Indian National Congress
1530,,3,Mehul Patel,"14,299",1.2%,Aam Aadmi Party
1531,,,,,,
1532,Nawada,1,Giriraj Singh,"390,248",44.1%,Bharatiya Janta Party
1533,,2,Raj Ballabh Prasad,"250,091",28.3%,Rashtriya Janata Dal
1534,,3,Kaushal Yadav,"168,217",19.0%,Janata Dal (United)
1535,,,,,,
1536,Nellore,1,Mekapati Rajamohan Reddy,"576,396",48.5%,Yuvajana Sramika Rythu Congress Party
1537,,2,Adala Prabhakara Reddy,"562,918",47.4%,Telugu Desam
1538,,3,Narayana Reddy Vakati,"22,870",1.9%,Indian National Congress
1539,,,,,,
1540,New Delhi,1,Meenakashi Lekhi,"453,350",46.7%,Bharatiya Janta Party
1541,,2,Ashish Khetan,"290,642",30.0%,Aam Aadmi Party
1542,,3,Ajay Makan,"182,893",18.9%,Indian National Congress
1543,,,,,,
1544,Nilgiris,1,"Gopalakrishnan, C.","463,700",49.7%,All India Anna Dravida Munnetra Kazhagam
1545,,2,"Raja, A.","358,760",38.4%,Dravida Munetra Kazhagam
1546,,3,"Gandhi, P.","37,702",4.0%,Indian National Congress
1547,,,,,,
1548,Nizamabad,1,Kalvakuntla Kavitha,"439,307",42.5%,Telangana Rashtra Samithi
1549,,2,Madhu Yaskhi Goud,"272,123",26.3%,Indian National Congress
1550,,3,Endala Lakshminarayana,"225,333",21.8%,Bharatiya Janta Party
1551,,,,,,
1552,North East Delhi,1,Manoj Tiwari,"596,125",45.3%,Bharatiya Janta Party
1553,,2,Anand Kumar,"452,041",34.3%,Aam Aadmi Party
1554,,3,Jai Parkash Agarwal,"214,792",16.3%,Indian National Congress
1555,,,,,,
1556,North Goa,1,Shripad Yesso Naik,"237,903",58.5%,Bharatiya Janta Party
1557,,2,Ravi Naik,"132,304",32.5%,Indian National Congress
1558,,3,Dr.Dattaram Desai,"15,857",3.9%,Aam Aadmi Party
1559,,,,,,
1560,North West Delhi,1,Udit Raj,"629,860",46.4%,Bharatiya Janta Party
1561,,2,Rakhi Birla,"523,058",38.6%,Aam Aadmi Party
1562,,3,Krishna,"157,468",11.6%,Indian National Congress
1563,,,,,,
1564,Nowgong,1,Rajen Gohain,"494,146",40.2%,Bharatiya Janta Party
1565,,2,Jonjonali Baruah,"350,587",28.5%,Indian National Congress
1566,,3,Dr. Aditya Langthasa,"314,012",25.5%,All India United Democratic Front
1567,,,,,,
1568,Ongole,1,Y.V.Subba Reddy,"589,960",48.8%,Yuvajana Sramika Rythu Congress Party
1569,,2,Magunta Sreenivasulu Reddy,"574,302",47.5%,Telugu Desam
1570,,3,Darisi Pavan Kumar,"13,357",1.1%,Indian National Congress
1571,,,,,,
1572,Osmanabad,1,Gaikwad Ravindra Vishwanath,"607,699",54.3%,Shiv Sena
1573,,2,Patil Padmasinha Bajirao,"373,374",33.4%,Nationalist Congress Party
1574,,3,Dhale Padmasheel Ramchandra,"28,322",2.5%,Bahujan Samaj Party
1575,,,,,,
1576,Outer Manipur,1,Thangso Baite,"296,770",38.5%,Indian National Congress
1577,,2,Soso Lorho,"281,133",36.4%,Naga Peoples Front
1578,,3,Gangmumei Kamei,"75,828",9.8%,Bharatiya Janta Party
1579,,,,,,
1580,Palakkad,1,M B Rajesh,"412,897",45.4%,Communist Party Of India (MARXIST)
1581,,2,M P Veerendrakumar,"307,597",33.8%,Socialist Janta (DEMOCRATIC)
1582,,3,Sobhasurendran,"136,541",15.0%,Bharatiya Janta Party
1583,,,,,,
1584,Palamau,1,Vishnu Dayal Ram,"476,513",48.8%,Bharatiya Janta Party
1585,,2,Manoj Kumar,"212,571",21.8%,Rashtriya Janata Dal
1586,,3,Ghuran Ram,"156,832",16.0%,Jharkhand Vikas Morcha (Prajatantrik)
1587,,,,,,
1588,Palghar,1,Adv. Chintaman Navasha Wanga,"533,201",53.7%,Bharatiya Janta Party
1589,,2,Baliram Sukur Jadhav,"293,681",29.6%,Bahujan Vikas Aaghadi
1590,,3,Kharapade Ladakya Rupa,"76,890",7.7%,Communist Party Of India (MARXIST)
1591,,,,,,
1592,Pali,1,P P Choudhary,"711,772",65.0%,Bharatiya Janta Party
1593,,2,Munni Devi Godara,"312,733",28.5%,Indian National Congress
1594,,3,Bhojraj,"16,469",1.5%,Bahujan Samaj Party
1595,,,,,,
1596,Panchmahal,1,Chauhan Prabhatsinh Pratapsinh,"508,274",54.5%,Bharatiya Janta Party
1597,,2,Ramsinh Parmar,"337,678",36.2%,Indian National Congress
1598,,3,Giri Ramchandra Vaijnath,"15,956",1.7%,Bahujan Samaj Party
1599,,,,,,
1600,Parbhani,1,Jadhav Sanjay (BANDU) HARIBHAU,"578,455",49.8%,Shiv Sena
1601,,2,Bhambale Vijay Manikrao,"451,300",38.8%,Nationalist Congress Party
1602,,3,Gulmir Khan,"33,716",2.9%,Bahujan Samaj Party
1603,,,,,,
1604,Paschim Champaran,1,Dr. Sanjay Jaiswal,"371,232",43.4%,Bharatiya Janta Party
1605,,2,Prakash Jha,"260,978",30.5%,Janata Dal (United)
1606,,3,Raghunath Jha,"121,800",14.2%,Rashtriya Janata Dal
1607,,,,,,
1608,Pataliputra,1,Ram Kripal Yadav,"383,262",39.2%,Bharatiya Janta Party
1609,,2,Misha Bharti,"342,940",35.0%,Rashtriya Janata Dal
1610,,3,Ranjan Prasad Yadav,"97,228",9.9%,Janata Dal (United)
1611,,,,,,
1612,Patan,1,Liladharbhai Khodaji Vaghela,"518,538",54.3%,Bharatiya Janta Party
1613,,2,Rathod Bhavsinhbhai Dahyabhai,"379,819",39.7%,Indian National Congress
1614,,3,Parmar Maganbhai Amarabhai,"9,900",1.0%,Bahujan Samaj Party
1615,,,,,,
1616,Pathanamthitta,1,Anto Antony,"358,842",41.3%,Indian National Congress
1617,,2,Adv. Peelipose Thomas,"302,651",34.8%,Independent
1618,,3,M T Remesh,"138,954",16.0%,Bharatiya Janta Party
1619,,,,,,
1620,Patiala,1,Dr. Dharam Vira Gandhi,"365,671",32.6%,Aam Aadmi Party
1621,,2,Preneet Kaur,"344,729",30.8%,Indian National Congress
1622,,3,Deepinder Singh Dhillon,"340,109",30.3%,Shiromani Akali Dal
1623,,,,,,
1624,Patna Sahib,1,Shatrughana Sinha,"485,905",55.1%,Bharatiya Janta Party
1625,,2,Kunal Singh,"220,100",24.9%,Indian National Congress
1626,,3,Dr.Gopal Prasad Sinha,"91,024",10.3%,Janata Dal (United)
1627,,,,,,
1628,Peddapalli,1,Balka Suman,"565,496",55.3%,Telangana Rashtra Samithi
1629,,2,G. Vivekanand,"274,338",26.8%,Indian National Congress
1630,,3,Dr.Janapati Sarat Babu,"63,334",6.2%,Telugu Desam
1631,,,,,,
1632,Perambalur,1,"Marutharajaa, R.P.","462,693",44.9%,All India Anna Dravida Munnetra Kazhagam
1633,,2,"Seemanur Prabu, S.","249,645",24.2%,Dravida Munetra Kazhagam
1634,,3,"Parivendar Pachamuthu, T.R.","238,887",23.2%,Bharatiya Janta Party
1635,,,,,,
1636,Phulpur,1,Keshav Prasad Maurya,"503,564",52.4%,Bharatiya Janta Party
1637,,2,Dharam Raj Singh Patel,"195,256",20.3%,Samajwadi Party
1638,,3,Kapil Muni Karwariya,"163,710",17.0%,Bahujan Samaj Party
1639,,,,,,
1640,Pilibhit,1,Maneka Sanjay Gandhi,"546,934",52.1%,Bharatiya Janta Party
1641,,2,Budhsen Verma,"239,882",22.8%,Samajwadi Party
1642,,3,Anis Ahmad Khan Alias Phool Babu,"196,294",18.7%,Bahujan Samaj Party
1643,,,,,,
1644,Pollachi,1,Mahendran.C,"417,092",41.2%,All India Anna Dravida Munnetra Kazhagam
1645,,2,Eswaran.E.R.,"276,118",27.3%,Bharatiya Janta Party
1646,,3,Pongalur Palanisamy.N,"251,829",24.9%,Dravida Munetra Kazhagam
1647,,,,,,
1648,Pondicherry,1,R. Radhakrishnan,"255,826",34.6%,All India N.R. Congress
1649,,2,V. Narayanasamy,"194,972",26.3%,Indian National Congress
1650,,3,M.V. Omalingam,"132,657",17.9%,All India Anna Dravida Munnetra Kazhagam
1651,,,,,,
1652,Ponnani,1,E. T. Mohammed Basheer,"378,503",43.4%,Indian Union Muslim League
1653,,2,V.Abdurahman,"353,093",40.5%,Independent
1654,,3,K.Narayanan Master,"75,212",8.6%,Bharatiya Janta Party
1655,,,,,,
1656,Porbandar,1,Radadiya Vithalbhai Hansrajbhai,"508,437",62.8%,Bharatiya Janta Party
1657,,2,Jadeja Kandhalbhai Sarmanbhai,"240,466",29.7%,Nationalist Congress Party
1658,,3,Sadiya Vrajalal Pababhai,"12,180",1.5%,Bahujan Samaj Party
1659,,,,,,
1660,Pratapgarh,1,Kuwar Harivansh Singh,"375,789",42.0%,Apna Dal
1661,,2,Asif Nizamuddin Siddique,"207,567",23.2%,Bahujan Samaj Party
1662,,3,Rajkumari Ratna Singh,"138,620",15.5%,Indian National Congress
1663,,,,,,
1664,Pune,1,Anil Shirole,"569,825",57.4%,Bharatiya Janta Party
1665,,2,Dr.Vishwajeet Patangrao Kadam,"254,056",25.6%,Indian National Congress
1666,,3,Deepak Natharam Paigude,"93,502",9.4%,Maharashtra Navnirman Sena
1667,,,,,,
1668,Puri,1,Pinaki Misra,"523,161",50.3%,Biju Janata Dal
1669,,2,Sucharita Mohanty,"259,800",25.0%,Indian National Congress
1670,,3,Ashok Sahu,"215,763",20.8%,Bharatiya Janta Party
1671,,,,,,
1672,Purnia,1,Santosh Kumar,"418,826",41.2%,Janata Dal (United)
1673,,2,Uday Singh Alias Pappu Singh,"302,157",29.7%,Bharatiya Janta Party
1674,,3,Amarnath Tiwari,"124,344",12.2%,Indian National Congress
1675,,,,,,
1676,Purulia,1,Dr. Mriganka Mahato,"468,277",38.9%,All India Trinamool Congress
1677,,2,Narahari Mahato,"314,400",26.1%,All India Forward Bloc
1678,,3,Nepal Mahata,"257,923",21.4%,Indian National Congress
1679,,,,,,
1680,Purvi Champaran,1,Radha Mohan Singh,"400,452",48.7%,Bharatiya Janta Party
1681,,2,Binod Kumar Srivastava,"208,289",25.3%,Rashtriya Janata Dal
1682,,3,Avaneesh Kumar Singh,"128,604",15.6%,Janata Dal (United)
1683,,,,,,
1684,Rae Bareli,1,Sonia Gandhi,"526,434",63.8%,Indian National Congress
1685,,2,Ajay Agrawal,"173,721",21.1%,Bharatiya Janta Party
1686,,3,Pravesh Singh,"63,633",7.7%,Bahujan Samaj Party
1687,,,,,,
1688,Raichur,1,B.V.Nayak,"443,659",45.8%,Indian National Congress
1689,,2,Arakera Shivanagouda Nayak,"442,160",45.6%,Bharatiya Janta Party
1690,,3,D.B.Nayak,"21,706",2.2%,Janata Dal (Secular)
1691,,,,,,
1692,Raigad,1,Anant Geete,"396,178",40.1%,Shiv Sena
1693,,2,Tatkare Sunil Dattatrey,"394,068",39.9%,Nationalist Congress Party
1694,,3,Rameshbhai Kadam,"129,730",13.1%,Peasants And Workers Party Of India
1695,,,,,,
1696,Raiganj,1,Md. Salim,"317,515",28.7%,Communist Party Of India (MARXIST)
1697,,2,Deepa Dasmunsi,"315,881",28.5%,Indian National Congress
1698,,3,Nimu Bhowmick,"203,131",18.3%,Bharatiya Janta Party
1699,,,,,,
1700,Raigarh,1,Vishnu Deo Sai,"662,478",53.2%,Bharatiya Janta Party
1701,,2,Arti Singh,"445,728",35.8%,Indian National Congress
1702,,3,Kripa Shankar Bhagat,"27,152",2.2%,Bahujan Samaj Party
1703,,,,,,
