,Place,Rank,Name,No.of votes,Percentage of votes,Party
1300,Maharajganj,1,Uma Shanaker Singh,"211,610",35.3%,Rashtriya Janata Dal
1301,,2,Prabhu Nath Singh,"208,813",34.8%,Janata Dal (United)
1302,,3,Tarkeshwar Singh,"80,162",13.4%,Indian National Congress
1303,,,,,,
1304,Mahasamund,1,Chandulal Sahu (Chandu Bhaiya),"371,201",47.8%,Bharatiya Janta Party
1305,,2,Motilal Sahu,"319,726",41.2%,Indian National Congress
1306,,3,Sultansingh Satnam,"18,998",2.4%,Independent
1307,,,,,,
1308,Mahbubnagar,1,K. Chandrasekhar Rao,"366,569",39.5%,Telangana Rashtra Samithi
1309,,2,Devarakonda Vittal Rao,"346,385",37.3%,Indian National Congress
1310,,3,Kuchakulla Yadagiri Reddy,"57,955",6.2%,Bharatiya Janta Party
1311,,,,,,
1312,Mahesana,1,Patel Jayshreeben Kanubhai,"334,631",48.3%,Bharatiya Janta Party
1313,,2,Jivabhai Ambalal Patel,"312,766",45.2%,Indian National Congress
1314,,3,Patel Laljibhai Keshavlal,"12,063",1.7%,Independent
1315,,,,,,
1316,Mainpuri,1,Mulayam Singh Yadav,"392,308",56.3%,Samajwadi Party
1317,,2,Vinay Shakya,"219,239",31.5%,Bahujan Samaj Party
1318,,3,Tripti Shakya,"56,265",8.1%,Bharatiya Janta Party
1319,,,,,,
1320,Malappuram,1,E. Ahamed,"427,940",54.5%,Muslim League Kerala State Committee
1321,,2,T.K. Hamza,"312,343",39.8%,Communist Party Of India (MARXIST)
1322,,3,Adv. N. Aravindan,"36,016",4.6%,Bharatiya Janta Party
1323,,,,,,
1324,Maldaha Dakshin,1,Abu Hasem Khan Choudhury,"443,377",53.3%,Indian National Congress
1325,,2,Abdur Razzaque,"307,097",36.9%,Communist Party Of India (MARXIST)
1326,,3,Dipak Kumar Chowdhury,"43,997",5.3%,Bharatiya Janta Party
1327,,,,,,
1328,Maldaha Uttar,1,Mausam Noor,"440,264",47.7%,Indian National Congress
1329,,2,Sailen Sarkar,"380,123",41.2%,Communist Party Of India (MARXIST)
1330,,3,Amlan Bhaduri,"61,515",6.7%,Bharatiya Janta Party
1331,,,,,,
1332,Malkajgiri,1,Sarvey Sathyanarayana,"388,368",32.2%,Indian National Congress
1333,,2,Bheemsen.T,"295,042",24.5%,Telugu Desam
1334,,3,T.Devender Goud,"238,886",19.8%,Praja Rajyam Party
1335,,,,,,
1336,Mandi,1,Virbhadra Singh,"340,973",47.8%,Indian National Congress
1337,,2,Maheshwar Singh,"326,976",45.8%,Bharatiya Janta Party
1338,,3,Dr. Onkar Shad,"20,664",2.9%,Communist Party Of India (MARXIST)
1339,,,,,,
1340,Mandla,1,Basori Singh Masram,"391,133",45.5%,Indian National Congress
1341,,2,Faggan Singh Kulaste,"326,080",37.9%,Bharatiya Janta Party
1342,,3,Jalso Dhurwey,"24,603",2.9%,Bahujan Samaj Party
1343,,,,,,
1344,Mandsour,1,Meenakshi Natrajan,"373,532",48.8%,Indian National Congress
1345,,2,Dr. Laxminarayan Pandeya,"342,713",44.8%,Bharatiya Janta Party
1346,,3,Laxminarayan Bhagirath Patidar,"10,712",1.4%,Independent
1347,,,,,,
1348,Mandya,1,N Cheluvaraya Swamy @ Swamygowda,"384,443",37.3%,Janata Dal (Secular)
1349,,2,M H Ambareesh,"360,943",35.0%,Indian National Congress
1350,,3,L R Shivaramegowda,"144,875",14.0%,Bharatiya Janta Party
1351,,,,,,
1352,Mangaldoi,1,Ramen Deka,"307,881",31.1%,Bharatiya Janta Party
1353,,2,Madhab Rajbangshi,"252,032",25.5%,Indian National Congress
1354,,3,Badiuj Zamal,"180,430",18.3%,Assam United Democratic Front
1355,,,,,,
1356,Mathura,1,Jayant Chaudhary,"379,870",52.3%,Rashtriya Lok Dal
1357,,2,Shyam Sunder Sharma,"210,257",28.9%,Bahujan Samaj Party
1358,,3,Manvendra Singh,"85,418",11.8%,Indian National Congress
1359,,,,,,
1360,Mathurapur,1,Choudhury Mohan Jatua,"565,505",53.9%,All India Trinamool Congress
1361,,2,Animesh Naskar,"435,542",41.5%,Communist Party Of India (MARXIST)
1362,,3,Binay Kumar Biswas,"27,432",2.6%,Bharatiya Janta Party
1363,,,,,,
1364,Maval,1,Babar Gajanan Dharmshi,"364,857",50.8%,Shiv Sena
1365,,2,Pansare Azam Fakeerbhai,"284,238",39.6%,Nationalist Congress Party
1366,,3,Mishra Umakant Rameshwar,"20,455",2.8%,Bahujan Samaj Party
1367,,,,,,
1368,Mavelikkara,1,Kodikkunnil Suresh,"397,211",49.3%,Indian National Congress
1369,,2,R.S Anil,"349,163",43.3%,Communist Party Of India
1370,,3,P.M Velayudhan,"40,992",5.1%,Bharatiya Janta Party
1371,,,,,,
1372,Mayiladuthurai,1,Maniyan O.S.,"364,089",45.5%,All India Anna Dravida Munnetra Kazhagam
1373,,2,Mani Shankar Aiyar,"327,235",40.9%,Indian National Congress
1374,,3,Pandian K,"44,754",5.6%,Desiya Murpokku Dravida Kazhagam
1375,,,,,,
1376,Mayurbhanj,1,Laxman Tudu,"256,648",31.1%,Biju Janata Dal
1377,,2,Sudam Marndi,"190,470",23.1%,Jharkhand Mukti Morcha
1378,,3,Droupadi Murmu,"150,827",18.3%,Bharatiya Janta Party
1379,,,,,,
1380,Medak,1,Vijaya Shanthi .M,"388,839",36.6%,Telangana Rashtra Samithi
1381,,2,Narendranath .C,"382,762",36.0%,Indian National Congress
1382,,3,Khaja Quayum Anwar,"120,812",11.4%,Praja Rajyam Party
1383,,,,,,
1384,Medinipur,1,Prabodh Panda,"493,021",47.2%,Communist Party Of India
1385,,2,Dipak Kumar Ghosh,"445,004",42.6%,All India Trinamool Congress
1386,,3,Pradip Patnaik,"52,061",5.0%,Bharatiya Janta Party
1387,,,,,,
1388,Meerut,1,Rajendra Agarwal,"232,137",31.9%,Bharatiya Janta Party
1389,,2,Malook Nagar,"184,991",25.4%,Bahujan Samaj Party
1390,,3,Shahid Manzoor,"183,527",25.2%,Samajwadi Party
1391,,,,,,
1392,Mirzapur,1,Bal Kumar Patel,"218,898",29.9%,Samajwadi Party
1393,,2,Anil Kumar Maurya,"199,216",27.2%,Bahujan Samaj Party
1394,,3,Anurag Singh,"139,686",19.1%,Bharatiya Janta Party
1395,,,,,,
1396,Misrikh,1,Ashok Kumar Rawat,"207,627",34.2%,Bahujan Samaj Party
1397,,2,Shyam Prakash,"184,335",30.3%,Samajwadi Party
1398,,3,Om Prakash,"125,862",20.7%,Indian National Congress
1399,,,,,,
1400,Mizoram,1,C.L.Ruala,"213,779",64.3%,Indian National Congress
1401,,2,Dr. H. Lallungmuana,"104,824",31.5%,Independent
1402,,3,Rualpawla,"4,089",1.2%,Independent
1403,,,,,,
1404,Mohanlalganj,1,Sushila Saroj,"256,367",36.9%,Samajwadi Party
1405,,2,Jai Prakash,"179,772",25.9%,Bahujan Samaj Party
1406,,3,R.K.Chaudhary,"144,341",20.8%,Rashtriya Swabhimaan Party
1407,,,,,,
1408,Moradabad,1,Mohammed Azharuddin,"301,283",39.6%,Indian National Congress
1409,,2,Kunwar Sarvesh Kumar Alias Rakesh,"252,176",33.1%,Bharatiya Janta Party
1410,,3,Rajiv Channa,"147,594",19.4%,Bahujan Samaj Party
1411,,,,,,
1412,Morena,1,Narendra Singh Tomar,"300,647",42.3%,Bharatiya Janta Party
1413,,2,Ramniwas Rawat,"199,650",28.1%,Indian National Congress
1414,,3,Balveer Singh Dandotiya,"142,073",20.0%,Bahujan Samaj Party
1415,,,,,,
1416,Mumbai North,1,Sanjay Brijkishorlal Nirupam,"255,157",37.2%,Indian National Congress
1417,,2,Ram Naik,"249,378",36.4%,Bharatiya Janta Party
1418,,3,Parkar Shirish Laxman,"147,502",21.5%,Maharashtra Navnirman Sena
1419,,,,,,
1420,Mumbai North Central,1,Dutt Priya Sunil,"319,352",48.0%,Indian National Congress
1421,,2,Mahesh Ram Jethmalani,"144,797",21.8%,Bharatiya Janta Party
1422,,3,Shilpa Atul Sarpotdar,"132,546",19.9%,Maharashtra Navnirman Sena
1423,,,,,,
1424,Mumbai North East,1,Sanjay Dina Patil,"213,505",32.0%,Nationalist Congress Party
1425,,2,Kirit Somaiya,"210,572",31.5%,Bharatiya Janta Party
1426,,3,Shishir Shinde,"195,148",29.2%,Maharashtra Navnirman Sena
1427,,,,,,
1428,Mumbai North West,1,Ad.Kamat Gurudas Vasant,"253,920",35.9%,Indian National Congress
1429,,2,Gajanan Kirtikar,"215,533",30.5%,Shiv Sena
1430,,3,Thakare Shalini Jitendra,"124,000",17.5%,Maharashtra Navnirman Sena
1431,,,,,,
1432,Mumbai South,1,Deora Milind Murli,"272,411",42.5%,Indian National Congress
1433,,2,Bala Nandgaonkar,"159,729",24.9%,Maharashtra Navnirman Sena
1434,,3,Mohan Rawale,"146,118",22.8%,Shiv Sena
1435,,,,,,
1436,Mumbai South Central,1,Eknath M. Gaikwad,"257,523",43.0%,Indian National Congress
1437,,2,Suresh Anant Gambhir,"181,817",30.4%,Shiv Sena
1438,,3,Shweta Vivek Parulkar,"108,341",18.1%,Maharashtra Navnirman Sena
1439,,,,,,
1440,Munger,1,Rajiv Ranjan Singh Alias Lalan Singh,"374,317",57.5%,Janata Dal (United)
1441,,2,Ram Badan Roy,"184,956",28.4%,Rashtriya Janata Dal
1442,,3,Ram Lakhan Singh,"27,929",4.3%,Indian National Congress
1443,,,,,,
1444,Murshidabad,1,Abdul Mannan Hossain,"496,348",47.2%,Indian National Congress
1445,,2,Anisur Rahaman Sarkar,"460,701",43.8%,Communist Party Of India (MARXIST)
1446,,3,Nirmal Kumar Saha,"42,290",4.0%,Bharatiya Janta Party
1447,,,,,,
1448,Muzaffarnagar,1,Kadir Rana,"275,318",37.0%,Bahujan Samaj Party
1449,,2,Anuradha Chaudhary,"254,720",34.2%,Rashtriya Lok Dal
1450,,3,Thakur Sangeet Singh Som,"106,667",14.3%,Samajwadi Party
1451,,,,,,
1452,Muzaffarpur,1,Captain Jai Narayan Prasad Nishad,"195,091",31.4%,Janata Dal (United)
1453,,2,Bhagwanlal Sahni,"147,282",23.7%,Lok Jan Shakti Party
1454,,3,Vinita Vijay,"108,306",17.4%,Indian National Congress
1455,,,,,,
1456,Mysore,1,Adagur H Vishwanath,"354,810",36.4%,Indian National Congress
1457,,2,C.H.Vijayashankar,"347,119",35.6%,Bharatiya Janta Party
1458,,3,B.A.Jivijaya,"216,283",22.2%,Janata Dal (Secular)
1459,,,,,,
1460,Nabarangpur,1,Pradeep Kumar Majhi,"308,307",38.9%,Indian National Congress
1461,,2,Domburu Majhi,"278,330",35.1%,Biju Janata Dal
1462,,3,Parsuram Majhi,"156,784",19.8%,Bharatiya Janta Party
1463,,,,,,
1464,Nagaland,1,C.M. Chang,"832,224",70.0%,Nagaland Peoples Front
1465,,2,K. Asungba Sangtam,"349,203",29.4%,Indian National Congress
1466,,3,Dr. Rilanthung Odyuo,"8,174",0.7%,All India Trinamool Congress
1467,,,,,,
1468,Nagapattinam,1,Vijayan A K S,"369,915",48.4%,Dravida Munetra Kazhagam
1469,,2,Selvaraj M,"321,953",42.1%,Communist Party Of India
1470,,3,Muthukumar M,"51,376",6.7%,Desiya Murpokku Dravida Kazhagam
1471,,,,,,
1472,Nagarkurnool,1,Dr. Manda Jagannath,"422,745",41.1%,Indian National Congress
1473,,2,Guvvala Balaraju,"374,978",36.5%,Telangana Rashtra Samithi
1474,,3,Devani Satyanarayana,"62,216",6.1%,Praja Rajyam Party
1475,,,,,,
1476,Nagaur,1,Dr. Jyoti Mirdha,"333,261",54.6%,Indian National Congress
1477,,2,Bindu Chaudhary,"178,124",29.2%,Bharatiya Janta Party
1478,,3,Abdul Aziz,"68,434",11.2%,Bahujan Samaj Party
1479,,,,,,
1480,Nagina,1,Yashvir Singh,"234,815",36.5%,Samajwadi Party
1481,,2,Ram Kishan Singh,"175,127",27.2%,Bahujan Samaj Party
1482,,3,Munsiram,"163,062",25.3%,Rashtriya Lok Dal
1483,,,,,,
1484,Nagpur,1,Muttemwar Vilasrao Baburaoji,"315,148",41.7%,Indian National Congress
1485,,2,Purohit Banwarilal Bhagwandas,"290,749",38.5%,Bharatiya Janta Party
1486,,3,Engineer Manikrao Vaidya,"118,741",15.7%,Bahujan Samaj Party
1487,,,,,,
1488,Nainital-Udhamsingh Nagar,1,K.C. Singh Baba,"321,377",42.6%,Indian National Congress
1489,,2,Bachi Singh Rawat,"232,965",30.9%,Bharatiya Janta Party
1490,,3,Narayan Pal,"143,515",19.0%,Bahujan Samaj Party
1491,,,,,,
1492,Nalanda,1,Kaushalendra Kumar,"299,155",52.6%,Janata Dal (United)
1493,,2,Satish Kumar,"146,478",25.8%,Lok Jan Shakti Party
1494,,3,Anil Singh,"20,335",3.6%,Loktantrik Samata Dal
1495,,,,,,
1496,Nalgonda,1,Gutha Sukender Reddy,"493,849",45.6%,Indian National Congress
1497,,2,Suravaram Sudhakar Reddy,"340,867",31.5%,Communist Party Of India
1498,,3,Paduri Karuna,"150,275",13.9%,Praja Rajyam Party
1499,,,,,,
1500,Namakkal,1,Gandhiselvan.S,"371,476",43.9%,Dravida Munetra Kazhagam
1501,,2,Vairam Tamilarasi.V,"269,045",31.8%,All India Anna Dravida Munnetra Kazhagam
1502,,3,Maheswaran.N,"79,420",9.4%,Desiya Murpokku Dravida Kazhagam
1503,,,,,,
1504,Nanded,1,Khatgaonkar Patil Bhaskarrao Bapurao,"346,400",44.7%,Indian National Congress
1505,,2,Sambhaji Pawar,"271,786",35.1%,Bharatiya Janta Party
1506,,3,Md. Makbul Salim Haji Md. Khaja,"84,743",10.9%,Bahujan Samaj Party
1507,,,,,,
1508,Nandurbar,1,Gavit Manikrao Hodlya,"275,936",36.0%,Indian National Congress
1509,,2,Natawadkar Suhas Jayant,"195,987",25.6%,Bharatiya Janta Party
1510,,3,Padvi Babita Karmsingh,"11,780",1.5%,Bahujan Samaj Party
1511,,,,,,
1512,Nandyal,1,S.P.Y.Reddy,"400,023",40.2%,Indian National Congress
1513,,2,Nasyam Mohammed Farook,"309,176",31.0%,Telugu Desam
1514,,3,Bhuma Venkata Nagi Reddy,"220,829",22.2%,Praja Rajyam Party
1515,,,,,,
1516,Narasaraopet,1,Modugula Venugopala Reddy,"463,358",42.7%,Telugu Desam
1517,,2,Balashowry Vallabhaneni,"461,751",42.5%,Indian National Congress
1518,,3,Shaik Syed Saheb,"114,924",10.6%,Praja Rajyam Party
1519,,,,,,
1520,Narsapuram,1,Bapiraju Kanumuru,"389,422",39.1%,Indian National Congress
1521,,2,Thota Sita Rama Lakshmi,"274,732",27.6%,Telugu Desam
1522,,3,Gubbala Tammaiah,"267,058",26.8%,Praja Rajyam Party
1523,,,,,,
1524,Nashik,1,Sameer Bhujbal,"238,706",36.3%,Nationalist Congress Party
1525,,2,Godse Hemant Tukaram,"216,674",33.0%,Maharashtra Navnirman Sena
1526,,3,Gaikwad Datta Namdeo,"158,251",24.1%,Shiv Sena
1527,,,,,,
1528,Navsari,1,C. R. Patil,"423,413",55.9%,Bharatiya Janta Party
1529,,2,Dhansukh Rajput,"290,770",38.4%,Indian National Congress
1530,,3,Satyajit Jayantilal Sheth,"12,821",1.7%,Independent
1531,,,,,,
1532,Nawada,1,Bhola Singh,"130,608",22.5%,Bharatiya Janta Party
1533,,2,Veena Devi,"95,691",16.5%,Lok Jan Shakti Party
1534,,3,Rajballabh Prasad,"78,543",13.5%,Independent
1535,,,,,,
1536,Nellore,1,Mekapati Rajamohan Reddy,"430,235",42.7%,Indian National Congress
1537,,2,Vanteru Venu Gopala Reddy,"375,242",37.3%,Telugu Desam
1538,,3,Jana Ramachandraiah,"138,111",13.7%,Praja Rajyam Party
1539,,,,,,
1540,New Delhi,1,Ajay Makan,"455,867",59.6%,Indian National Congress
1541,,2,Vijay Goel,"268,058",35.0%,Bharatiya Janta Party
1542,,3,Trilok Chand Sharma,"22,364",2.9%,Bahujan Samaj Party
1543,,,,,,
1544,Nilgiris,1,Raja A,"316,802",44.6%,Dravida Munetra Kazhagam
1545,,2,Krishnan C,"230,781",32.5%,Marumalarchi Dravida Munnetra Kazhagam
1546,,3,Selvaraj S,"76,613",10.8%,Desiya Murpokku Dravida Kazhagam
1547,,,,,,
1548,Nizamabad,1,Madhu Yaskhi Goud,"296,504",33.3%,Indian National Congress
1549,,2,Bigala Ganesh Gupta,"236,114",26.5%,Telangana Rashtra Samithi
1550,,3,P.Vinay Kumar,"165,790",18.6%,Praja Rajyam Party
1551,,,,,,
1552,North East Delhi,1,Jai Prakash Agarwal,"518,191",59.0%,Indian National Congress
1553,,2,B.L.Sharma Prem,"295,948",33.7%,Bharatiya Janta Party
1554,,3,Haji Dilshad Ali,"44,111",5.0%,Bahujan Samaj Party
1555,,,,,,
1556,North Goa,1,Shripad Yesso Naik,"137,716",47.1%,Bharatiya Janta Party
1557,,2,Jitendra Raghuraj Deshprabhu,"131,363",44.9%,Nationalist Congress Party
1558,,3,Christopher Fonseca,"8,646",3.0%,Communist Party Of India
1559,,,,,,
1560,North West Delhi,1,Krishna Tirath,"487,404",56.8%,Indian National Congress
1561,,2,Meera Kanwaria,"302,971",35.3%,Bharatiya Janta Party
1562,,3,Rakesh Hans,"44,615",5.2%,Bahujan Samaj Party
1563,,,,,,
1564,Nowgong,1,Rajen Gohain,"380,921",38.1%,Bharatiya Janta Party
1565,,2,Anil Raja,"335,541",33.6%,Indian National Congress
1566,,3,Siraj Uddin Ajmal,"245,155",24.5%,Assam United Democratic Front
1567,,,,,,
1568,Ongole,1,Magunta Srinivasulu Reddy,"450,442",43.9%,Indian National Congress
1569,,2,Madduluri Malakondaiah Yadav,"371,919",36.2%,Telugu Desam
1570,,3,Pidathala Sai Kalpana,"142,303",13.9%,Praja Rajyam Party
1571,,,,,,
1572,Osmanabad,1,Patil Padamsinha Bajirao,"408,840",44.2%,Nationalist Congress Party
1573,,2,Gaikwad Ravindra Vishwanath,"402,053",43.5%,Shiv Sena
1574,,3,Divakar Yashwant Nakade,"28,045",3.0%,Bahujan Samaj Party
1575,,,,,,
1576,Outer Manipur,1,Thangso Baite,"344,517",45.7%,Indian National Congress
1577,,2,Mani Charenamei,"224,719",29.8%,People's Democratic Alliance
1578,,3,D. Loli Adanee,"93,052",12.4%,Bharatiya Janta Party
1579,,,,,,
1580,Palakkad,1,M.B. Rajesh,"338,070",42.7%,Communist Party Of India (MARXIST)
1581,,2,Satheesan Pacheni,"336,250",42.5%,Indian National Congress
1582,,3,C.K. Padmanabhan,"68,804",8.7%,Bharatiya Janta Party
1583,,,,,,
1584,Palamau,1,Kameshwar Baitha,"167,995",25.8%,Jharkhand Mukti Morcha
1585,,2,Ghuran Ram,"144,457",22.2%,Rashtriya Janata Dal
1586,,3,Prabhat Kumar,"90,206",13.9%,Jharkhand Vikas Morcha (Prajatantrik)
1587,,,,,,
1588,Palghar,1,Jadhav Baliram Sukur,"223,234",30.5%,Bahujan Vikas Aaghadi
1589,,2,Adv. Chintaman Vanga,"210,874",28.8%,Bharatiya Janta Party
1590,,3,Shingda Damodar Barku,"160,570",21.9%,Indian National Congress
1591,,,,,,
1592,Pali,1,Badri Ram Jakhar,"387,604",53.5%,Indian National Congress
1593,,2,Pusp Jain,"190,887",26.3%,Bharatiya Janta Party
1594,,3,Shambhu Singh Khetasar,"108,388",15.0%,Bahujan Samaj Party
1595,,,,,,
1596,Panchmahal,1,Chauhan Prabhatsinh Pratapsinh,"282,079",46.5%,Bharatiya Janta Party
1597,,2,Vaghela Shankarsinh Laxmansinh,"279,998",46.2%,Indian National Congress
1598,,3,Shaikh Kalim A.Latif,"23,615",3.9%,Lok Jan Shakti Party
1599,,,,,,
1600,Parbhani,1,Adv. Dudhgaonkar Ganeshrao Nagorao,"385,387",44.3%,Shiv Sena
1601,,2,Warpudkar Suresh Ambadasrao,"319,969",36.7%,Nationalist Congress Party
1602,,3,Rajshri Babasaheb Jamage,"64,611",7.4%,Bahujan Samaj Party
1603,,,,,,
1604,Paschim Champaran,1,Dr. Sanjay Jaiswal,"198,781",38.6%,Bharatiya Janta Party
1605,,2,Prakash Jha,"151,438",29.4%,Lok Jan Shakti Party
1606,,3,Anirudh Prasad Alias Sadhu Yadav,"70,001",13.6%,Indian National Congress
1607,,,,,,
1608,Pataliputra,1,Ranjan Prasad Yadav,"269,298",42.9%,Janata Dal (United)
1609,,2,Lalu Prasad,"245,757",39.1%,Rashtriya Janata Dal
1610,,3,Rameshwar Prasad,"36,837",5.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
1611,,,,,,
1612,Patan,1,Jagdish Thakor,"283,778",44.8%,Indian National Congress
1613,,2,Rathod Bhavsinhbhai Dahyabhai,"265,274",41.9%,Bharatiya Janta Party
1614,,3,Patel Naranbhai Pragdasbhai,"18,554",2.9%,Mahagujarat Janta Party
1615,,,,,,
1616,Pathanamthitta,1,Anto Antony Punnathaniyil,"408,232",51.1%,Indian National Congress
1617,,2,Adv.K.Anantha Gopan,"297,026",37.2%,Communist Party Of India (MARXIST)
1618,,3,B.Radhakrishna Menon,"56,294",7.1%,Bharatiya Janta Party
1619,,,,,,
1620,Patiala,1,Preneet Kaur,"474,188",50.7%,Indian National Congress
1621,,2,Prem Singh Chandumajra,"376,799",40.3%,Shiromani Akali Dal
1622,,3,Deepak Joshi,"57,839",6.2%,Bahujan Samaj Party
1623,,,,,,
1624,Patna Sahib,1,Shatrughan Sinha,"316,549",57.3%,Bharatiya Janta Party
1625,,2,Vijay Kumar,"149,779",27.1%,Rashtriya Janata Dal
1626,,3,Shekhar Suman,"61,308",11.1%,Indian National Congress
1627,,,,,,
1628,Peddapalli,1,Dr.G.Vivekanand,"313,748",34.7%,Indian National Congress
1629,,2,Gomasa Srinivas,"264,731",29.3%,Telangana Rashtra Samithi
1630,,3,Arepelli David Raju,"175,605",19.4%,Praja Rajyam Party
1631,,,,,,
1632,Perambalur,1,"Napoleon,d.","398,742",47.8%,Dravida Munetra Kazhagam
1633,,2,"Balasubramanian,k.K.","321,138",38.5%,All India Anna Dravida Munnetra Kazhagam
1634,,3,"Kamaraj, Durai.","74,317",8.9%,Desiya Murpokku Dravida Kazhagam
1635,,,,,,
1636,Phulpur,1,Kapil Muni Karwariya,"167,542",30.4%,Bahujan Samaj Party
1637,,2,Shyama Charan Gupta,"152,964",27.7%,Samajwadi Party
1638,,3,Dr. Sone Lal Patel,"76,699",13.9%,Independent
1639,,,,,,
1640,Pilibhit,1,Varun Gandhi,"419,539",50.1%,Bharatiya Janta Party
1641,,2,V. M. Singh,"138,038",16.5%,Indian National Congress
1642,,3,Riyaz Ahmad,"117,903",14.1%,Samajwadi Party
1643,,,,,,
1644,Pollachi,1,Sugumar.K,"305,935",39.6%,All India Anna Dravida Munnetra Kazhagam
1645,,2,Shanmugasundaram.K,"259,910",33.6%,Dravida Munetra Kazhagam
1646,,3,Best S.Ramasamy,"103,004",13.3%,Kongu Nadu Munnetra Kazhagam
1647,,,,,,
1648,Pondicherry,1,Narayanasamy,"300,391",49.4%,Indian National Congress
1649,,2,Ramadass. M,"208,619",34.3%,Pattali Makkal Katchi
1650,,3,K.A.U. Asanaa,"52,638",8.6%,Desiya Murpokku Dravida Kazhagam
1651,,,,,,
1652,Ponnani,1,E.T. Muhammed Basheer,"385,801",50.1%,Muslim League Kerala State Committee
1653,,2,Dr. Hussain Randathani,"303,117",39.4%,Independent
1654,,3,K. Janachandran Master,"57,710",7.5%,Bharatiya Janta Party
1655,,,,,,
1656,Porbandar,1,Radadiya Vitthalbhai Hansrajbhai,"329,436",49.9%,Indian National Congress
1657,,2,Khachariya Mansukhbhai Shamjibhai,"289,933",43.9%,Bharatiya Janta Party
1658,,3,Chandravadiya Mehulkumar Karsanbhai,"14,713",2.2%,Bahujan Samaj Party
1659,,,,,,
1660,Pratapgarh,1,Rajkumari Ratna Singh,"169,137",26.4%,Indian National Congress
1661,,2,Prof. Shivakant Ojha,"139,358",21.7%,Bahujan Samaj Party
1662,,3,Kunwar Akshaya Pratap Singh 'gopal Ji',"121,252",18.9%,Samajwadi Party
1663,,,,,,
1664,Pune,1,Kalmadi Suresh,"279,973",38.1%,Indian National Congress
1665,,2,Anil Shirole,"254,272",34.6%,Bharatiya Janta Party
1666,,3,Shirole Ranjeet Shrikant,"75,930",10.3%,Maharashtra Navnirman Sena
1667,,,,,,
1668,Puri,1,Pinaki Misra,"436,961",48.0%,Biju Janata Dal
1669,,2,Debendra Nath Mansingh,"225,656",24.8%,Indian National Congress
1670,,3,Braja Kishore Tripathy,"209,287",23.0%,Bharatiya Janta Party
1671,,,,,,
1672,Purnia,1,Uday Singh Alias Pappu Singh,"362,952",51.5%,Bharatiya Janta Party
1673,,2,Shanti Priya,"176,725",25.1%,Independent
1674,,3,Shankar Jha,"22,773",3.2%,Lok Jan Shakti Party
1675,,,,,,
1676,Purulia,1,Narahari Mahato,"399,201",44.1%,All India Forward Bloc
1677,,2,Shantiram Mahato,"379,900",42.0%,Indian National Congress
1678,,3,Ajit Prasad Mahato,"30,799",3.4%,Jharkhand Mukti Morcha
1679,,,,,,
1680,Purvi Champaran,1,Radha Mohan Singh,"201,114",41.7%,Bharatiya Janta Party
1681,,2,Akhilesh Prasad Singh,"121,824",25.3%,Rashtriya Janata Dal
1682,,3,Arvind Kumar Gupta,"68,323",14.2%,Indian National Congress
1683,,,,,,
1684,Rae Bareli,1,Sonia Gandhi,"481,490",72.2%,Indian National Congress
1685,,2,R.S.Kushwaha,"109,325",16.4%,Bahujan Samaj Party
1686,,3,R.B.Singh,"25,444",3.8%,Bharatiya Janta Party
1687,,,,,,
1688,Raichur,1,Pakkirappa.S.,"316,450",46.4%,Bharatiya Janta Party
1689,,2,Raja Venkatappa Naik,"285,814",41.9%,Indian National Congress
1690,,3,K.Devanna Naik,"29,317",4.3%,Janata Dal (Secular)
1691,,,,,,
1692,Raigad,1,Anant Geete,"413,546",53.8%,Shiv Sena
1693,,2,Barrister A.R. Antulay,"267,025",34.7%,Indian National Congress
1694,,3,Adv. Pravin Madhukar Thakur,"39,159",5.1%,Independent
1695,,,,,,
1696,Raiganj,1,Deepa Dasmunsi,"451,776",50.2%,Indian National Congress
1697,,2,Bireswar Lahiri,"346,573",38.5%,Communist Party Of India (MARXIST)
1698,,3,Gopesh Chandra Sarkar,"37,645",4.2%,Bharatiya Janta Party
1699,,,,,,
1700,Raigarh,1,Vishnu Deo Sai,"443,948",47.4%,Bharatiya Janta Party
1701,,2,Hridayaram Rathiya,"388,100",41.5%,Indian National Congress
1702,,3,Bahadur Singh Rathia,"37,972",4.1%,Bahujan Samaj Party
1703,,,,,,
1704,Raipur,1,Ramesh Bais,"364,943",49.2%,Bharatiya Janta Party
1705,,2,Bhupesh Baghel,"307,042",41.4%,Indian National Congress
1706,,3,Vidhyadevi Sahu,"16,853",2.3%,Bahujan Samaj Party
1707,,,,,,
1708,Rajahmundry,1,Aruna Kumar Vundavalli,"357,449",35.0%,Indian National Congress
1709,,2,M. Murali Mohan,"355,302",34.8%,Telugu Desam
1710,,3,Uppalapati Venkata Krishnam Raju,"253,437",24.8%,Praja Rajyam Party
1711,,,,,,
1712,Rajampet,1,Annayyagari Sai Prathap,"423,910",42.5%,Indian National Congress
1713,,2,Ramesh Kumar Reddy Reddappagari,"313,533",31.4%,Telugu Desam
1714,,3,D.A. Srinivas,"180,537",18.1%,Praja Rajyam Party
1715,,,,,,
1716,Rajgarh,1,Narayansingh Amlabe,"319,371",49.0%,Indian National Congress
1717,,2,Lakshman Singh,"294,983",45.3%,Bharatiya Janta Party
1718,,3,Laxmansingh Aamdor,"11,311",1.7%,Independent
1719,,,,,,
