,Name,No.of votes,Percentage of votes,Party
1173,Rajen Gohain,"494,146",40.2%,Bharatiya Janta Party
1174,Jonjonali Baruah,"350,587",28.5%,Indian National Congress
1175,Dr. Aditya Langthasa,"314,012",25.5%,All India United Democratic Front
1176,Y.V.Subba Reddy,"589,960",48.8%,Yuvajana Sramika Rythu Congress Party
1177,Magunta Sreenivasulu Reddy,"574,302",47.5%,Telugu Desam
1178,Darisi Pavan Kumar,"13,357",1.1%,Indian National Congress
1179,Gaikwad Ravindra Vishwanath,"607,699",54.3%,Shiv Sena
1180,Patil Padmasinha Bajirao,"373,374",33.4%,Nationalist Congress Party
1181,Dhale Padmasheel Ramchandra,"28,322",2.5%,Bahujan Samaj Party
1182,Thangso Baite,"296,770",38.5%,Indian National Congress
1183,Soso Lorho,"281,133",36.4%,Naga Peoples Front
1184,Gangmumei Kamei,"75,828",9.8%,Bharatiya Janta Party
1185,M B Rajesh,"412,897",45.4%,Communist Party Of India (MARXIST)
1186,M P Veerendrakumar,"307,597",33.8%,Socialist Janta (DEMOCRATIC)
1187,Sobhasurendran,"136,541",15.0%,Bharatiya Janta Party
1188,Vishnu Dayal Ram,"476,513",48.8%,Bharatiya Janta Party
1189,Manoj Kumar,"212,571",21.8%,Rashtriya Janata Dal
1190,Ghuran Ram,"156,832",16.0%,Jharkhand Vikas Morcha (Prajatantrik)
1191,Adv. Chintaman Navasha Wanga,"533,201",53.7%,Bharatiya Janta Party
1192,Baliram Sukur Jadhav,"293,681",29.6%,Bahujan Vikas Aaghadi
1193,Kharapade Ladakya Rupa,"76,890",7.7%,Communist Party Of India (MARXIST)
1194,P P Choudhary,"711,772",65.0%,Bharatiya Janta Party
1195,Munni Devi Godara,"312,733",28.5%,Indian National Congress
1196,Bhojraj,"16,469",1.5%,Bahujan Samaj Party
1197,Chauhan Prabhatsinh Pratapsinh,"508,274",54.5%,Bharatiya Janta Party
1198,Ramsinh Parmar,"337,678",36.2%,Indian National Congress
1199,Giri Ramchandra Vaijnath,"15,956",1.7%,Bahujan Samaj Party
1200,Jadhav Sanjay (BANDU) HARIBHAU,"578,455",49.8%,Shiv Sena
1201,Bhambale Vijay Manikrao,"451,300",38.8%,Nationalist Congress Party
1202,Gulmir Khan,"33,716",2.9%,Bahujan Samaj Party
1203,Dr. Sanjay Jaiswal,"371,232",43.4%,Bharatiya Janta Party
1204,Prakash Jha,"260,978",30.5%,Janata Dal (United)
1205,Raghunath Jha,"121,800",14.2%,Rashtriya Janata Dal
1206,Ram Kripal Yadav,"383,262",39.2%,Bharatiya Janta Party
1207,Misha Bharti,"342,940",35.0%,Rashtriya Janata Dal
1208,Ranjan Prasad Yadav,"97,228",9.9%,Janata Dal (United)
1209,Liladharbhai Khodaji Vaghela,"518,538",54.3%,Bharatiya Janta Party
1210,Rathod Bhavsinhbhai Dahyabhai,"379,819",39.7%,Indian National Congress
1211,Parmar Maganbhai Amarabhai,"9,900",1.0%,Bahujan Samaj Party
1212,Anto Antony,"358,842",41.3%,Indian National Congress
1213,Adv. Peelipose Thomas,"302,651",34.8%,Independent
1214,M T Remesh,"138,954",16.0%,Bharatiya Janta Party
1215,Dr. Dharam Vira Gandhi,"365,671",32.6%,Aam Aadmi Party
1216,Preneet Kaur,"344,729",30.8%,Indian National Congress
1217,Deepinder Singh Dhillon,"340,109",30.3%,Shiromani Akali Dal
1218,Shatrughana Sinha,"485,905",55.1%,Bharatiya Janta Party
1219,Kunal Singh,"220,100",24.9%,Indian National Congress
1220,Dr.Gopal Prasad Sinha,"91,024",10.3%,Janata Dal (United)
1221,Balka Suman,"565,496",55.3%,Telangana Rashtra Samithi
1222,G. Vivekanand,"274,338",26.8%,Indian National Congress
1223,Dr.Janapati Sarat Babu,"63,334",6.2%,Telugu Desam
1224,"Marutharajaa, R.P.","462,693",44.9%,All India Anna Dravida Munnetra Kazhagam
1225,"Seemanur Prabu, S.","249,645",24.2%,Dravida Munetra Kazhagam
1226,"Parivendar Pachamuthu, T.R.","238,887",23.2%,Bharatiya Janta Party
1227,Keshav Prasad Maurya,"503,564",52.4%,Bharatiya Janta Party
1228,Dharam Raj Singh Patel,"195,256",20.3%,Samajwadi Party
1229,Kapil Muni Karwariya,"163,710",17.0%,Bahujan Samaj Party
1230,Maneka Sanjay Gandhi,"546,934",52.1%,Bharatiya Janta Party
1231,Budhsen Verma,"239,882",22.8%,Samajwadi Party
1232,Anis Ahmad Khan Alias Phool Babu,"196,294",18.7%,Bahujan Samaj Party
1233,Mahendran.C,"417,092",41.2%,All India Anna Dravida Munnetra Kazhagam
1234,Eswaran.E.R.,"276,118",27.3%,Bharatiya Janta Party
1235,Pongalur Palanisamy.N,"251,829",24.9%,Dravida Munetra Kazhagam
1236,R. Radhakrishnan,"255,826",34.6%,All India N.R. Congress
1237,V. Narayanasamy,"194,972",26.3%,Indian National Congress
1238,M.V. Omalingam,"132,657",17.9%,All India Anna Dravida Munnetra Kazhagam
1239,E. T. Mohammed Basheer,"378,503",43.4%,Indian Union Muslim League
1240,V.Abdurahman,"353,093",40.5%,Independent
1241,K.Narayanan Master,"75,212",8.6%,Bharatiya Janta Party
1242,Radadiya Vithalbhai Hansrajbhai,"508,437",62.8%,Bharatiya Janta Party
1243,Jadeja Kandhalbhai Sarmanbhai,"240,466",29.7%,Nationalist Congress Party
1244,Sadiya Vrajalal Pababhai,"12,180",1.5%,Bahujan Samaj Party
1245,Kuwar Harivansh Singh,"375,789",42.0%,Apna Dal
1246,Asif Nizamuddin Siddique,"207,567",23.2%,Bahujan Samaj Party
1247,Rajkumari Ratna Singh,"138,620",15.5%,Indian National Congress
1248,Anil Shirole,"569,825",57.4%,Bharatiya Janta Party
1249,Dr.Vishwajeet Patangrao Kadam,"254,056",25.6%,Indian National Congress
1250,Deepak Natharam Paigude,"93,502",9.4%,Maharashtra Navnirman Sena
1251,Pinaki Misra,"523,161",50.3%,Biju Janata Dal
1252,Sucharita Mohanty,"259,800",25.0%,Indian National Congress
1253,Ashok Sahu,"215,763",20.8%,Bharatiya Janta Party
1254,Santosh Kumar,"418,826",41.2%,Janata Dal (United)
1255,Uday Singh Alias Pappu Singh,"302,157",29.7%,Bharatiya Janta Party
1256,Amarnath Tiwari,"124,344",12.2%,Indian National Congress
1257,Dr. Mriganka Mahato,"468,277",38.9%,All India Trinamool Congress
1258,Narahari Mahato,"314,400",26.1%,All India Forward Bloc
1259,Nepal Mahata,"257,923",21.4%,Indian National Congress
1260,Radha Mohan Singh,"400,452",48.7%,Bharatiya Janta Party
1261,Binod Kumar Srivastava,"208,289",25.3%,Rashtriya Janata Dal
1262,Avaneesh Kumar Singh,"128,604",15.6%,Janata Dal (United)
1263,Sonia Gandhi,"526,434",63.8%,Indian National Congress
1264,Ajay Agrawal,"173,721",21.1%,Bharatiya Janta Party
1265,Pravesh Singh,"63,633",7.7%,Bahujan Samaj Party
1266,B.V.Nayak,"443,659",45.8%,Indian National Congress
1267,Arakera Shivanagouda Nayak,"442,160",45.6%,Bharatiya Janta Party
1268,D.B.Nayak,"21,706",2.2%,Janata Dal (Secular)
1269,Anant Geete,"396,178",40.1%,Shiv Sena
1270,Tatkare Sunil Dattatrey,"394,068",39.9%,Nationalist Congress Party
1271,Rameshbhai Kadam,"129,730",13.1%,Peasants And Workers Party Of India
1272,Md. Salim,"317,515",28.7%,Communist Party Of India (MARXIST)
1273,Deepa Dasmunsi,"315,881",28.5%,Indian National Congress
1274,Nimu Bhowmick,"203,131",18.3%,Bharatiya Janta Party
1275,Vishnu Deo Sai,"662,478",53.2%,Bharatiya Janta Party
1276,Arti Singh,"445,728",35.8%,Indian National Congress
1277,Kripa Shankar Bhagat,"27,152",2.2%,Bahujan Samaj Party
1278,Ramesh Bais,"654,922",52.4%,Bharatiya Janta Party
1279,Satya Narayan Sharma (SATTU BHAIYA),"483,276",38.6%,Indian National Congress
1280,Sandeep Tiwari,"15,139",1.2%,Aam Aadmi Party
1281,Murali Mohan Maganti,"630,573",54.6%,Telugu Desam
1282,Boddu Venkataramana Chowdary,"463,139",40.1%,Yuvajana Sramika Rythu Congress Party
1283,Durgesh Kandula,"21,243",1.8%,Indian National Congress
1284,P.V.Midhun Reddy,"601,752",52.0%,Yuvajana Sramika Rythu Congress Party
1285,D. Purandeswari,"426,990",36.9%,Bharatiya Janta Party
1286,G.Mujeeb Hussain,"59,777",5.2%,Jai Samaikyandhra Party
1287,Rodmal Nagar,"596,727",59.0%,Bharatiya Janta Party
1288,Amlabe Narayan Singh,"367,990",36.4%,Indian National Congress
1289,Dr.Shivnarayan Verma,"13,864",1.4%,Bahujan Samaj Party
1290,Kundariya Mohanbhai Kalyanjibhai,"621,524",58.8%,Bharatiya Janta Party
1291,Kunvarjibhai Mohanbhai Bavaliya,"375,096",35.5%,Indian National Congress
1292,Jivanbhai Devajibhai Parmar,"12,653",1.2%,Bahujan Samaj Party
1293,Vijay Kumar Hansdak,"379,507",39.9%,Jharkhand Mukti Morcha
1294,Hemlal Murmu,"338,170",35.5%,Bharatiya Janta Party
1295,Dr. Anil Murmu,"97,374",10.2%,Jharkhand Vikas Morcha (Prajatantrik)
1296,Abhishek Singh,"643,473",54.6%,Bharatiya Janta Party
1297,Kamleshwar Verma,"407,562",34.6%,Indian National Congress
1298,Anand Sahu,"20,458",1.7%,Bahujan Samaj Party
1299,Hariom Singh Rathore,"644,794",65.7%,Bharatiya Janta Party
1300,Gopal Singh Shekhawat,"249,089",25.4%,Indian National Congress
1301,Neeru Ram Jat,"14,579",1.5%,Bahujan Samaj Party
1302,Anwhar Raajhaa.A,"405,945",40.6%,All India Anna Dravida Munnetra Kazhagam
1303,Mohamed Jaleel .S,"286,621",28.6%,Dravida Munetra Kazhagam
1304,Kuppuramu .D,"171,082",17.1%,Bharatiya Janta Party
1305,Dr. Nepal Singh,"358,616",37.5%,Bharatiya Janta Party
1306,Naseer Ahmad Khan,"335,181",35.0%,Samajwadi Party
1307,Nawab Kazim Ali Khan,"156,466",16.4%,Indian National Congress
1308,Krupal Balaji Tumane,"519,892",49.5%,Shiv Sena
1309,Mukul Wasnik,"344,101",32.8%,Indian National Congress
1310,Kiran Prem Kumar Rodge (PATANKAR),"95,051",9.0%,Bahujan Samaj Party
1311,Tapas Mandal,"590,451",43.6%,All India Trinamool Congress
1312,Archana Biswas,"388,684",28.7%,Communist Party Of India (MARXIST)
1313,Supravat Biswas,"233,670",17.3%,Bharatiya Janta Party
1314,Ram Tahal Choudhary,"448,729",42.7%,Bharatiya Janta Party
1315,Subodh Kant Sahay,"249,426",23.8%,Indian National Congress
1316,Sudesh Kumar Mahto,"142,560",13.6%,Ajsu Party
1317,Dileepsingh Bhuria,"545,970",50.4%,Bharatiya Janta Party
1318,Kantilal Bhuria,"437,523",40.4%,Indian National Congress
1319,Babusingh,"18,485",1.7%,Bahujan Samaj Party
1320,Vinayak Bhaurao Raut,"493,088",55.0%,Shiv Sena
1321,Nilesh Narayan Rane,"343,037",38.3%,Indian National Congress
1322,Ayare Rajendra Lahu,"13,088",1.5%,Bahujan Samaj Party
1323,Khadase Raksha Nikhil,"605,452",60.0%,Bharatiya Janta Party
1324,Manishdada Jain,"287,384",28.5%,Nationalist Congress Party
1325,Bhande Dashrath Motiram,"29,752",2.9%,Bahujan Samaj Party
1326,Janardan Mishra,"383,320",46.2%,Bharatiya Janta Party
1327,Sunderlal Tiwari,"214,594",25.9%,Indian National Congress
1328,Deoraj Singh Patel,"175,567",21.2%,Bahujan Samaj Party
1329,Chhotelal,"378,211",42.7%,Bharatiya Janta Party
1330,Sharada Prasad,"187,725",21.2%,Bahujan Samaj Party
1331,Pakaudi Lal Kol,"135,966",15.3%,Samajwadi Party
1332,Deepender Singh Hooda,"490,063",46.9%,Indian National Congress
1333,Om Parkash Dhankar,"319,436",30.6%,Bharatiya Janta Party
1334,Shamsher Singh Kharkara,"151,120",14.5%,Indian National Lok Dal
1335,Rathod Dipsinh Shankarsinh,"552,205",50.5%,Bharatiya Janta Party
1336,Shankersinh Vaghela Bapu,"467,750",42.8%,Indian National Congress
1337,Bhambhi Chandubhai Mulchandbhai,"16,665",1.5%,Bahujan Samaj Party
1338,Laxmi Narayan Yadav,"482,580",54.1%,Bharatiya Janta Party
1339,Govind Singh Rajput,"361,843",40.6%,Indian National Congress
1340,Saroj Katiyar Kurmi,"19,917",2.2%,Bahujan Samaj Party
1341,Raghav Lakhanpal,"472,999",39.6%,Bharatiya Janta Party
1342,Imran Masood,"407,909",34.2%,Indian National Congress
1343,Jagdish Singh Rana,"235,033",19.7%,Bahujan Samaj Party
1344,Pannerselvam.V,"556,546",48.4%,All India Anna Dravida Munnetra Kazhagam
1345,Umarani. S,"288,936",25.1%,Dravida Munetra Kazhagam
1346,Sudhish L K,"201,265",17.5%,Desiya Murpokku Dravida Kazhagam
1347,Ravindra Kushawaha,"392,213",45.9%,Bharatiya Janta Party
1348,Ravi Shanker Singhpappu,"159,871",18.7%,Bahujan Samaj Party
1349,Haribansh Sahai Kushwaha,"159,688",18.7%,Samajwadi Party
1350,Ram Chandra Paswan,"270,401",31.3%,Lok Jan Shakti Party
1351,Dr. Ashok Kumar,"263,529",30.5%,Indian National Congress
1352,Maheshwar Hazari,"200,124",23.2%,Janata Dal (United)
1353,Nagendra Kumar Pradhan,"358,618",36.4%,Biju Janata Dal
1354,Suresh Pujari,"328,042",33.3%,Bharatiya Janta Party
1355,Amarnath Pradhan,"242,131",24.6%,Indian National Congress
1356,Satyapal Singh,"360,242",34.1%,Bharatiya Janta Party
1357,Dr Shafiq- Ur Rahman Barq,"355,068",33.6%,Samajwadi Party
1358,Aqeel-Ur -Rehman Khan,"252,640",23.9%,Bahujan Samaj Party
1359,Sanjaykaka Patil,"611,563",58.4%,Bharatiya Janta Party
1360,Patil Pratik Prakashbapu,"372,271",35.6%,Indian National Congress
1361,Bandgar Nanaso Balaso,"11,378",1.1%,Bahujan Samaj Party
1362,Bhagwant Mann,"533,237",48.5%,Aam Aadmi Party
1363,Sukhdev Singh Dhindsa,"321,516",29.2%,Shiromani Akali Dal
1364,Vijay Inder Singla,"181,410",16.5%,Indian National Congress
1365,Sharad Tripathi,"348,892",34.5%,Bharatiya Janta Party
1366,Bhism Shankar Alias Kushal Tiwari,"250,914",24.8%,Bahujan Samaj Party
1367,Bhal Chandra Yadav,"240,169",23.7%,Samajwadi Party
1368,Rajiv Pratap Rudy,"355,120",41.1%,Bharatiya Janta Party
1369,Rabri Devi,"314,172",36.4%,Rashtriya Janata Dal
1370,Saleem Perwez,"107,008",12.4%,Janata Dal (United)
1371,Kamalbhan Singh Marabi,"585,336",49.3%,Bharatiya Janta Party
1372,Ram Dev Ram,"438,100",36.9%,Indian National Congress
1373,Dharmjeet Singh Markam,"21,633",1.8%,Bahujan Samaj Party
1374,Chhedi Paswan,"366,087",43.2%,Bharatiya Janta Party
1375,Meira Kumar,"302,760",35.8%,Indian National Congress
1376,Karra Parasu Ramaiah,"93,310",11.0%,Janata Dal (United)
1377,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,"522,531",53.5%,Nationalist Congress Party
1378,Purushottam Jadhav,"155,937",16.0%,Independent
1379,Rajendra Madhukar Chorage,"82,489",8.4%,Aam Aadmi Party
1380,Ganesh Singh,"375,288",41.1%,Bharatiya Janta Party
1381,Ajay Singh Rahul Bhaiyya,"366,600",40.1%,Indian National Congress
1382,Dharmendra Singh Tiwari,"124,602",13.6%,Bahujan Samaj Party
1383,Bandaru Dattatreya,"438,271",43.7%,Bharatiya Janta Party
1384,M.Anjan Kumar Yadav,"183,536",18.3%,Indian National Congress
1385,Narla Mohan Rao,"145,120",14.5%,All India Majlis-E-Ittehadul Muslimoon
1386,Dalpat Singh Paraste,"525,419",54.2%,Bharatiya Janta Party
1387,Rajes Nandini Singh,"284,118",29.3%,Indian National Congress
1388,Parmeshwar Singh,"27,619",2.9%,Communist Party Of India
1389,Krishna Raj,"525,132",46.5%,Bharatiya Janta Party
1390,Umed Singh Kashyap,"289,603",25.6%,Bahujan Samaj Party
1391,Mithilesh Kumar,"242,913",21.5%,Samajwadi Party
1392,Rama Devi,"372,506",44.2%,Bharatiya Janta Party
1393,Md Anwarul Haque,"236,267",28.0%,Rashtriya Janata Dal
1394,Shahid Ali Khan,"79,108",9.4%,Janata Dal (United)
1395,Vincent H. Pala,"209,340",33.8%,Indian National Congress
1396,Prechard B. M. Basaiawmoit,"168,961",27.3%,Independent
1397,Paul Lyngdoh,"106,817",17.2%,United Democratic Party
1398,Virender Kashyap,"385,973",52.3%,Bharatiya Janta Party
1399,Mohan Lal Brakta,"301,786",40.9%,Indian National Congress
1400,Subhash Chander,"14,233",1.9%,Aam Aadmi Party
1401,B. S. Yeddyurappa,"606,216",53.7%,Bharatiya Janta Party
1402,Manjunath Bhandary,"242,911",21.5%,Indian National Congress
1403,Geetha Shivarajkumar,"240,636",21.3%,Janata Dal (Secular)
1404,Lokhande Sadashiv Kisan,"532,936",57.1%,Shiv Sena
1405,Bhausaheb Rajaram Wakchaure,"333,014",35.7%,Indian National Congress
1406,Nitin Navnath Udmale,"11,580",1.2%,Aam Aadmi Party
1407,Adhalrao Shivaji Dattatrey,"643,415",59.1%,Shiv Sena
1408,Nikam Devdatta Jaywant,"341,601",31.4%,Nationalist Congress Party
1409,Ashok Shirpati Khandebharad,"36,448",3.3%,Maharashtra Navnirman Sena
1410,Daddan Mishra,"345,964",35.3%,Bharatiya Janta Party
1411,Atiq Ahmad,"260,051",26.5%,Samajwadi Party
1412,Lal Ji Verma,"194,890",19.9%,Bahujan Samaj Party
1413,Riti Pathak,"475,678",48.1%,Bharatiya Janta Party
1414,Indrajeet Kumar,"367,632",37.2%,Indian National Congress
1415,Rama Shankar Shahwal,"39,387",4.0%,Bahujan Samaj Party
1416,Sumedhanand Saraswati,"499,428",46.9%,Bharatiya Janta Party
1417,Pratap Singh Jat,"260,232",24.4%,Indian National Congress
1418,Subhash Maharia,"188,841",17.7%,Independent
1419,Prem Das Rai,"163,698",53.0%,Sikkim Democratic Front
1420,Tek Nath Dhakal,"121,956",39.5%,Sikkim Krantikari Morcha
1421,Nar Bahadur Khatiwada,"7,279",2.4%,Bharatiya Janta Party
1422,Sushmita Dev,"336,451",42.1%,Indian National Congress
1423,Kabindra Purkayastha,"301,210",37.7%,Bharatiya Janta Party
1424,Kutub Ahmed Mazumder,"85,530",10.7%,All India United Democratic Front
1425,Laxman Giluwa,"303,131",38.1%,Bharatiya Janta Party
1426,Geeta Kora,"215,607",27.1%,Jai Bharat Samanta Party
1427,Chitrasen Sinku,"111,796",14.1%,Indian National Congress
1428,Charanjeet Singh Rori,"506,370",39.6%,Indian National Lok Dal
1429,Ashok Tanwar,"390,634",30.5%,Indian National Congress
1430,Dr. Sushil Indora,"241,067",18.8%,Haryana Janhit Congress (BL)
1431,Ram Kumar Sharma,"411,265",45.7%,Rashtriya Lok Samta Party
1432,Sitaram Yadav,"263,300",29.2%,Rashtriya Janata Dal
1433,Arjun Rai,"97,188",10.8%,Janata Dal (United)
1434,Rajesh Verma,"417,546",40.7%,Bharatiya Janta Party
1435,Kaiser Jahan,"366,519",35.7%,Bahujan Samaj Party
1436,Bharat Tripathi,"156,170",15.2%,Samajwadi Party
1437,Senthilnathan Pr,"475,993",46.3%,All India Anna Dravida Munnetra Kazhagam
1438,Dhurai Raaj Subha,"246,608",24.0%,Dravida Munetra Kazhagam
1439,Raja H,"133,763",13.0%,Bharatiya Janta Party
1440,Om Prakash Yadav,"372,670",42.2%,Bharatiya Janta Party
1441,Hena Shahab,"258,823",29.3%,Rashtriya Janata Dal
1442,Amar Nath Yadav,"81,006",9.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
1443,Sharad Bansode,"517,879",54.4%,Bharatiya Janta Party
1444,Shinde Sushilkumar Sambhajirao,"368,205",38.7%,Indian National Congress
1445,Adv. Sanjeev Sidram Sadafule,"19,041",2.0%,Bahujan Samaj Party
1446,Ramesh Chander,"347,203",35.2%,Bharatiya Janta Party
1447,Jagbir Singh Malik,"269,789",27.4%,Indian National Congress
1448,Padam Singh,"264,404",26.8%,Indian National Lok Dal
1449,Ramesh Bidhuri,"497,980",45.2%,Bharatiya Janta Party
1450,Col Devinder Sehrawat,"390,980",35.5%,Aam Aadmi Party
1451,Ramesh Kumar,"125,213",11.4%,Indian National Congress
1452,Adv. Narendra Keshav Sawaikar,"198,776",48.4%,Bharatiya Janta Party
1453,Aleixo Reginaldo Lourenco,"166,446",40.6%,Indian National Congress
1454,Churchill Alemao,"11,941",2.9%,All India Trinamool Congress
1455,Kalyan Banerjee,"514,933",39.9%,All India Trinamool Congress
1456,Tirthankar Ray,"362,407",28.1%,Communist Party Of India (MARXIST)
1457,Bappi Lahiri,"287,712",22.3%,Bharatiya Janta Party
1458,Rammohan Naidu Kinjarapu,"556,163",52.9%,Telugu Desam
1459,Reddy Shanthi,"428,591",40.8%,Yuvajana Sramika Rythu Congress Party
1460,Killi Kruparani,"24,163",2.3%,Indian National Congress
1461,Tariq Hameed Karra,"157,923",50.6%,Jammu &amp; Kashmir Peoples Democratic Party
1462,Farooq Abdullah,"115,643",37.0%,Jammu &amp; Kashmir National Conference
1463,Aga Syed Mohsin,"16,050",5.1%,Independent
1464,"Ramachandran, K.N. Thiru","545,820",42.4%,All India Anna Dravida Munnetra Kazhagam
1465,"Jagathrakshakan, S. Thiru","443,174",34.4%,Dravida Munetra Kazhagam
1466,"Masilamani, R. (DR).","187,094",14.5%,Marumalarchi Dravida Munnetra Kazhagam
1467,Feroze Varun Gandhi,"410,348",42.5%,Bharatiya Janta Party
1468,Pawan Pandey,"231,446",24.0%,Bahujan Samaj Party
1469,Shakeel Ahmed,"228,144",23.6%,Samajwadi Party
1470,Jual @ Juel Oram,"340,508",33.7%,Bharatiya Janta Party
1471,Dilip Kumar Tirkey,"321,679",31.8%,Biju Janata Dal
1472,Hemanand Biswal,"269,335",26.6%,Indian National Congress
1473,Ranjeet Ranjan,"332,927",34.3%,Indian National Congress
1474,Dileshwar Kamait,"273,255",28.2%,Janata Dal (United)
1475,Kameshwar Chaupal,"249,693",25.7%,Bharatiya Janta Party
1476,Darshana Vikram Jardosh,"718,412",75.8%,Bharatiya Janta Party
1477,Desai Naishadhbhai Bhupatbhai,"185,222",19.5%,Indian National Congress
1478,Mohanbhai B. Patel,"18,877",2.0%,Aam Aadmi Party
1479,Fatepara Devajibhai Govindbhai,"529,003",56.0%,Bharatiya Janta Party
1480,Koli Patel Somabhai Gandalal,"326,096",34.5%,Indian National Congress
1481,Sapara Vipulbhai Rameshbhai,"14,524",1.5%,Independent
1482,Adhikari Suvendu,"716,928",53.6%,All India Trinamool Congress
1483,Sekh Ibrahim Ali,"470,447",35.2%,Communist Party Of India (MARXIST)
1484,Badsha Alam,"86,265",6.4%,Bharatiya Janta Party
1485,Mala Rajya Laxmi Shah,"446,733",57.6%,Bharatiya Janta Party
1486,Saket Bahuguna,"254,230",32.8%,Indian National Congress
1487,Anoop Nautiyal,"24,043",3.1%,Aam Aadmi Party
1488,Vasanthi.M,"424,586",41.7%,All India Anna Dravida Munnetra Kazhagam
1489,Dr.Krishnasamy.K.,"262,812",25.8%,Puthiya Tamilagam
1490,Dr.Sadhan Thirumalaikumar.T.,"190,233",18.7%,Marumalarchi Dravida Munnetra Kazhagam
1491,Ram Prasad Sarmah,"446,511",45.5%,Bharatiya Janta Party
1492,Bhupen Kumar Borah,"360,491",36.8%,Indian National Congress
1493,Moni Kumar Subba,"62,730",6.4%,Independent
1494,Vichare Rajan Baburao,"595,364",56.5%,Shiv Sena
1495,Sanjeev Ganesh Naik,"314,065",29.8%,Nationalist Congress Party
1496,Abhijit Ramesh Panse,"48,863",4.6%,Maharashtra Navnirman Sena
1497,Parasuraman.K,"510,307",50.4%,All India Anna Dravida Munnetra Kazhagam
1498,Baalu.T.R,"366,188",36.2%,Dravida Munetra Kazhagam
1499,Muruganantham.M,"58,521",5.8%,Bharatiya Janta Party
1500,"Parthipan, R.","571,254",53.1%,All India Anna Dravida Munnetra Kazhagam
1501,Pon. Muthuramalingam,"256,722",23.9%,Dravida Munetra Kazhagam
1502,"Alagusundaram, K.","134,362",12.5%,Marumalarchi Dravida Munnetra Kazhagam
1503,Venugopal.P.(DR),"628,499",50.1%,All India Anna Dravida Munnetra Kazhagam
1504,Ravikumar.D,"305,069",24.3%,Viduthalai Chiruthaigal Katchi
1505,Yuvaraj.V,"204,734",16.3%,Desiya Murpokku Dravida Kazhagam
1506,Dr. Shashi Tharoor,"297,806",34.1%,Indian National Congress
1507,Sri. O Rajagopal,"282,336",32.3%,Bharatiya Janta Party
1508,Sri. Doctor Bennet Abraham,"248,941",28.5%,Communist Party Of India
1509,Jeyasingh Thiyagaraj Natterjee.J,"366,052",39.9%,All India Anna Dravida Munnetra Kazhagam
1510,Jegan. P,"242,050",26.4%,Dravida Munetra Kazhagam
1511,Joel. S,"182,191",19.9%,Marumalarchi Dravida Munnetra Kazhagam
1512,C. N. Jayadevan,"389,209",42.3%,Communist Party Of India
1513,K. P. Dhanapalan,"350,982",38.1%,Indian National Congress
1514,K.P. Sreesan,"102,681",11.2%,Bharatiya Janta Party
1515,Dr. Virendra Kumar,"422,979",55.2%,Bharatiya Janta Party
1516,Ahirwar Dr. Kamlesh Verma,"214,248",28.0%,Indian National Congress
1517,Dr. Ambesh Kumari Ahirwar,"47,497",6.2%,Samajwadi Party
1518,Kumar.P,"458,478",46.4%,All India Anna Dravida Munnetra Kazhagam
1519,Anbhalagan.Mu,"308,002",31.2%,Dravida Munetra Kazhagam
1520,Vijaykumar.Amg,"94,785",9.6%,Desiya Murpokku Dravida Kazhagam
1521,Prabakaran.K.R.P,"398,139",41.4%,All India Anna Dravida Munnetra Kazhagam
1522,Devadasa Sundaram,"272,040",28.3%,Dravida Munetra Kazhagam
1523,Sivananenthaperumal.S.,"127,370",13.2%,Desiya Murpokku Dravida Kazhagam
1524,Varaprasad Rao Velagapalli,"580,376",47.8%,Yuvajana Sramika Rythu Congress Party
1525,Karumanchi Jayaram,"542,951",44.8%,Bharatiya Janta Party
1526,Chinta Mohan,"33,333",2.7%,Indian National Congress
1527,V.Sathyabama,"442,778",42.2%,All India Anna Dravida Munnetra Kazhagam
1528,N.Dineshkumar,"263,463",25.1%,Desiya Murpokku Dravida Kazhagam
1529,M.Senthilnathan,"205,411",19.6%,Dravida Munetra Kazhagam
1530,Vanaroja R,"500,751",46.9%,All India Anna Dravida Munnetra Kazhagam
1531,Annadurai C N,"332,145",31.1%,Dravida Munetra Kazhagam
1532,Ediroli Manian G,"157,954",14.8%,Pattali Makkal Katchi
1533,Sukhbir Singh Jaunapuria,"548,179",52.6%,Bharatiya Janta Party
1534,Mohammed Azharuddin,"412,868",39.6%,Indian National Congress
1535,Jagmohan Meena,"14,600",1.4%,National People's Party
1536,Jitendra Choudhury,"623,771",65.6%,Communist Party Of India (MARXIST)
1537,Sachitra Debbarma,"139,413",14.7%,Indian National Congress
1538,Bhriguram Reang,"77,028",8.1%,All India Trinamool Congress
1539,Sankar Prasad Datta,"671,665",62.6%,Communist Party Of India (MARXIST)
1540,Arunoday Saha,"168,179",15.7%,Indian National Congress
1541,Ratan Chakraborti,"117,727",11.0%,All India Trinamool Congress
1542,Muddahanumegowda.S.P.,"429,868",39.0%,Indian National Congress
1543,G.S.Basavaraj,"355,827",32.3%,Bharatiya Janta Party
1544,A.Krishnappa,"258,683",23.5%,Janata Dal (Secular)
1545,Purno Agitok Sangma,"239,301",52.2%,National People's Party
1546,Daryl William Ch Momin,"199,585",43.6%,Indian National Congress
1547,Arjunlal Meena,"660,373",55.3%,Bharatiya Janta Party
1548,Raghuvir Singh,"423,611",35.5%,Indian National Congress
